SalesOrderID,ProductID,QuantitySold,OrderDate,Deposit,TransactionDate,PaymentMethod,TotalAmount,Tax,Discount,WarehouseID,EmployeeID,CustomerID
23,373,72,2011-10-27 12:05:23,574.51,2011-12-06 12:05:23,Credit Card,7071.45,509.44,145.48,3,36,836
24,456,47,2018-02-27 08:59:45,496.31,2018-04-07 08:59:45,Cash,8269.68,312.67,91.5,10,46,646
25,81,20,2024-02-05 06:42:20,556.95,2024-03-08 06:42:20,Bank Transfer,3344.73,584.69,355.67,9,21,106
26,223,20,2010-12-09 05:55:37,538.59,2011-01-09 05:55:37,Bank Transfer,7925.28,136.48,341.7,1,91,469
27,173,77,2016-08-23 18:09:09,32.47,2016-09-29 18:09:09,Credit Card,1841.82,817.99,176.09,8,3,662
28,156,37,2017-05-19 02:21:28,798.36,2017-07-12 02:21:28,Credit Card,7951.66,510.25,74.27,4,102,19
29,451,44,2019-05-29 11:55:23,614.47,2019-07-03 11:55:23,Bank Transfer,5226.52,365.08,457.54,6,57,214
30,434,29,2010-12-23 18:32:43,605.56,2011-02-10 18:32:43,Cash,1690.9,984.67,3.74,6,46,46
31,340,51,2016-01-09 20:37:49,157.44,2016-02-12 20:37:49,Cash,7926.32,587.32,54.73,4,99,325
32,405,74,2015-05-12 01:05:01,818.46,2015-06-17 01:05:01,Bank Transfer,8029.89,407.84,420.23,8,21,971
33,242,8,2024-05-24 05:50:21,247.28,2024-06-23 05:50:21,Bank Transfer,4864.29,557.67,392.3,10,101,209
34,100,50,2019-04-25 19:58:32,220.1,2019-06-09 19:58:32,Credit Card,971.01,894.45,91.6,8,26,480
35,368,70,2015-02-15 22:50:18,792.48,2015-03-26 22:50:18,Credit Card,1237.96,301.54,273.13,9,75,873
36,183,20,2019-10-18 19:04:08,574.45,2019-11-17 19:04:08,Bank Transfer,8494.82,290.14,284.6,1,22,351
37,165,67,2016-01-20 01:17:42,456.92,2016-03-15 01:17:42,Credit Card,3247.09,464.05,488.12,4,3,184
38,443,4,2016-01-13 21:39:29,956.53,2016-02-17 21:39:29,Cash,7599.2,246.61,314.85,5,6,878
39,188,82,2023-07-09 05:24:14,232.79,2023-09-02 05:24:14,Bank Transfer,6812.59,778.01,0.09,2,54,285
40,429,88,2019-10-19 16:36:31,460.15,2019-12-13 16:36:31,Bank Transfer,3617.81,61.73,355.19,1,80,916
41,118,26,2019-10-02 10:41:40,499.49,2019-11-24 10:41:40,Bank Transfer,5366.21,353.72,460.44,2,3,134
42,453,90,2013-04-17 13:18:47,996.86,2013-06-08 13:18:47,Bank Transfer,705.29,733.28,200.35,5,69,915
43,289,99,2014-09-14 08:20:42,667.44,2014-10-17 08:20:42,Credit Card,9667.08,167.59,457.66,7,9,362
44,351,41,2024-08-05 06:52:11,859.84,2024-09-09 06:52:11,Credit Card,6000.77,79.95,241.18,9,92,453
45,161,3,2018-02-14 02:31:27,846.86,2018-04-03 02:31:27,Cash,4666.13,701.3,5.72,7,24,144
46,417,6,2017-02-11 03:32:26,75.98,2017-03-23 03:32:26,Cash,8141.96,333.72,38.84,5,70,661
47,20,77,2011-07-04 00:36:31,928.62,2011-08-21 00:36:31,Credit Card,8472.68,785.89,110.53,1,90,316
48,144,63,2017-03-16 01:15:26,17.93,2017-05-05 01:15:26,Bank Transfer,7528.24,20.01,216.58,6,64,632
49,459,42,2017-03-23 19:58:45,127.99,2017-05-04 19:58:45,Credit Card,5780.55,789.22,429.8,9,32,992
50,375,13,2017-04-19 09:26:12,159.62,2017-05-21 09:26:12,Cash,5930.14,862.76,69.61,2,66,724
51,275,58,2020-03-16 16:15:29,790.61,2020-05-04 16:15:29,Credit Card,4324.04,156.77,145.57,5,35,353
52,203,78,2011-09-26 21:20:17,942.44,2011-10-28 21:20:17,Credit Card,2159.5,15.51,130.8,9,86,289
53,244,67,2020-10-02 12:59:20,323.22,2020-11-20 12:59:20,Credit Card,3184.25,45.33,436.59,8,82,299
54,289,32,2014-12-18 23:09:26,937.89,2015-01-24 23:09:26,Bank Transfer,8779.46,857.19,50.61,7,46,285
55,303,36,2017-11-15 22:52:17,917.91,2017-12-25 22:52:17,Credit Card,4108.15,55.73,335.75,3,95,772
56,315,43,2022-09-06 11:48:13,500.46,2022-10-21 11:48:13,Bank Transfer,8191.92,60.39,78.5,1,77,195
57,326,86,2014-06-04 08:34:59,712.26,2014-07-10 08:34:59,Credit Card,1492.87,811.47,385.21,3,19,14
58,110,66,2016-01-13 23:43:46,282.56,2016-02-22 23:43:46,Credit Card,5561.34,207.38,286.47,9,41,843
59,229,41,2013-02-14 20:49:05,865.81,2013-04-11 20:49:05,Credit Card,1456.67,377.17,488.21,4,71,160
60,61,68,2015-01-13 22:16:03,412.87,2015-02-15 22:16:03,Credit Card,7645.9,794.54,21.53,3,48,813
61,164,9,2023-07-06 22:48:43,242.25,2023-09-01 22:48:43,Bank Transfer,7560.99,587.17,196.09,3,78,305
62,401,86,2017-09-21 08:57:49,994.02,2017-10-26 08:57:49,Cash,6432.54,498.71,245.72,8,3,224
63,173,49,2021-12-30 09:10:11,174.56,2022-02-07 09:10:11,Cash,3599.57,137.55,448.38,3,15,409
64,473,14,2015-04-04 06:25:03,584.17,2015-05-22 06:25:03,Cash,7590.02,355.91,283.65,5,15,679
65,374,2,2017-06-10 01:31:18,250.88,2017-07-28 01:31:18,Cash,8446.78,50.04,161.09,8,68,761
66,76,78,2022-10-17 19:40:08,146.78,2022-12-12 19:40:08,Credit Card,6557.21,502.29,193.55,7,52,76
67,447,85,2016-09-09 13:43:07,108.01,2016-11-07 13:43:07,Bank Transfer,8686.01,444.61,28.74,1,57,276
68,396,98,2011-07-04 16:36:54,554.31,2011-08-22 16:36:54,Credit Card,143.82,92.28,19.72,1,25,118
69,190,56,2020-11-29 13:18:12,900.38,2021-01-09 13:18:12,Cash,8604.67,317.66,57.59,7,26,377
70,410,21,2018-04-03 15:57:55,625.83,2018-05-22 15:57:55,Bank Transfer,2809.75,969.94,177.68,1,58,445
71,157,59,2011-09-12 07:34:46,527.91,2011-10-22 07:34:46,Bank Transfer,5778.37,797.66,396.52,10,31,638
72,300,60,2014-07-30 20:43:24,491.13,2014-09-15 20:43:24,Cash,9425.27,681.1,333.43,5,18,327
73,368,65,2018-11-27 14:57:17,21.05,2019-01-25 14:57:17,Bank Transfer,2964.75,159.51,80.74,4,100,481
74,110,53,2014-09-04 05:10:22,12.17,2014-10-27 05:10:22,Credit Card,3026.75,187.44,120.98,4,17,780
75,56,98,2017-12-29 04:20:18,288.16,2018-02-16 04:20:18,Bank Transfer,9053.53,264.83,50.29,10,28,736
76,168,29,2012-05-22 03:49:26,511.04,2012-07-09 03:49:26,Credit Card,159.08,483.97,344.78,5,53,442
77,311,4,2011-03-09 07:43:19,243.72,2011-04-08 07:43:19,Cash,1109.79,270.07,25.4,4,28,946
78,50,32,2011-12-21 21:55:35,569.19,2012-01-27 21:55:35,Cash,7396.36,907.47,177.86,8,19,749
79,27,87,2012-07-01 15:48:49,450.68,2012-08-24 15:48:49,Credit Card,720.16,837.67,380.99,7,63,883
80,212,88,2024-02-19 16:04:51,175.11,2024-04-19 16:04:51,Credit Card,5033.29,428.01,265.98,7,30,970
81,404,13,2015-08-27 01:35:09,707.65,2015-09-26 01:35:09,Credit Card,5043.66,189.73,488.89,4,68,449
82,298,98,2015-09-23 19:05:55,760.59,2015-11-17 19:05:55,Credit Card,3984.63,675.03,141.31,6,38,775
83,184,48,2021-06-07 17:04:32,72.75,2021-07-22 17:04:32,Bank Transfer,4026.37,520.6,499.16,3,24,624
84,297,10,2016-05-08 11:12:28,702.16,2016-07-03 11:12:28,Bank Transfer,8927.75,163.75,437.97,1,78,993
85,415,73,2016-06-09 15:43:00,999.43,2016-07-11 15:43:00,Cash,4703.68,29.71,287.69,9,24,858
86,238,83,2017-05-31 02:29:28,961.36,2017-07-15 02:29:28,Credit Card,4570.95,336.71,248.17,6,82,575
87,419,51,2013-12-17 07:51:49,436.85,2014-01-30 07:51:49,Credit Card,811.21,451.03,357.21,5,94,265
88,56,45,2012-02-22 15:19:07,838.15,2012-04-01 15:19:07,Cash,4502.85,215.12,444.34,8,43,992
89,308,68,2019-07-27 11:35:54,183.69,2019-09-22 11:35:54,Bank Transfer,756.02,146.31,269.35,2,65,987
90,402,13,2014-06-01 19:45:15,960.55,2014-07-01 19:45:15,Bank Transfer,6867.62,352.41,136.38,5,41,459
91,97,42,2012-01-30 03:23:03,166.02,2012-03-29 03:23:03,Cash,358.7,447.75,348.97,5,81,951
92,43,26,2024-03-07 08:29:17,107.62,2024-04-24 08:29:17,Cash,4319.46,725.12,71.55,5,8,996
93,135,46,2022-01-03 03:14:30,431.8,2022-02-25 03:14:30,Cash,2805.42,211.85,316.79,10,8,244
94,417,23,2013-03-13 21:01:38,422.3,2013-04-28 21:01:38,Credit Card,1539.37,587.22,225.44,10,75,135
95,395,29,2022-08-05 20:42:47,195.08,2022-09-16 20:42:47,Credit Card,9027.97,958.87,16.75,6,16,72
96,424,88,2015-04-23 16:34:05,606.63,2015-05-29 16:34:05,Credit Card,6794.76,185.3,72.77,8,93,974
97,51,45,2021-04-18 06:43:48,553.01,2021-05-31 06:43:48,Credit Card,3477.97,85.3,454.97,9,97,892
98,355,38,2010-12-13 12:23:00,929.75,2011-01-27 12:23:00,Credit Card,2393.24,560.79,253.64,2,90,775
99,88,80,2013-09-16 23:48:39,482.58,2013-10-22 23:48:39,Cash,272.22,292.05,444.08,10,57,875
100,374,69,2016-12-01 04:44:29,93.45,2017-01-03 04:44:29,Bank Transfer,3700.77,229.65,200.96,8,84,274
101,433,94,2024-02-18 10:13:11,106.11,2024-04-04 10:13:11,Cash,1903.54,479.33,276.76,6,18,607
102,222,38,2017-01-10 05:08:03,162.28,2017-02-24 05:08:03,Bank Transfer,2538.97,861.5,195.12,6,16,605
103,207,9,2013-05-31 19:28:00,487.45,2013-07-04 19:28:00,Bank Transfer,7683.57,686.5,406.74,7,77,153
104,360,92,2011-08-15 09:46:05,283.33,2011-09-28 09:46:05,Bank Transfer,6124.33,829.5,26.54,10,16,402
105,22,18,2023-07-19 14:18:52,511.88,2023-08-21 14:18:52,Credit Card,9003.08,945.67,244.95,5,3,297
106,459,64,2022-07-27 06:55:51,544.15,2022-09-17 06:55:51,Bank Transfer,9929.77,470,238.03,9,7,383
107,61,93,2023-09-24 13:42:44,686.93,2023-10-28 13:42:44,Bank Transfer,47.39,47.45,458.47,10,62,787
108,29,81,2013-05-30 03:12:40,79.87,2013-07-29 03:12:40,Bank Transfer,2282.61,125.5,64.84,6,66,968
109,471,7,2015-06-03 04:28:42,830.61,2015-07-05 04:28:42,Cash,4792.23,582.24,328.28,8,56,502
110,383,33,2023-11-03 23:37:11,66.3,2023-12-30 23:37:11,Cash,3853.5,828.93,202.56,9,44,895
111,349,96,2024-09-13 12:49:51,762.24,2024-10-30 12:49:51,Bank Transfer,6536.3,786.53,400.59,5,86,140
112,175,8,2020-05-06 05:57:41,901.42,2020-06-14 05:57:41,Bank Transfer,6169.98,507.58,202.02,6,29,515
113,287,96,2020-10-06 12:34:01,292.91,2020-11-18 12:34:01,Credit Card,1729.66,330.57,88.76,7,54,971
114,228,31,2013-01-29 17:47:38,948.28,2013-03-30 17:47:38,Cash,3694.82,316.7,134.94,8,70,218
115,94,12,2013-10-20 23:12:07,78.64,2013-12-18 23:12:07,Cash,9522.97,952.53,276.4,9,48,25
116,201,28,2022-03-26 17:42:58,298.22,2022-05-22 17:42:58,Bank Transfer,6758.49,417.3,344.09,8,63,65
117,148,48,2012-03-11 18:17:14,652.76,2012-04-10 18:17:14,Cash,5053.57,837.28,441.32,3,56,940
118,121,39,2017-10-15 17:53:54,176.58,2017-12-06 17:53:54,Cash,1835.96,360.21,92.41,9,82,486
119,467,3,2011-11-03 22:22:52,331.9,2011-12-03 22:22:52,Cash,830.07,210.5,91,3,42,547
120,447,52,2015-10-10 14:13:40,117.41,2015-12-09 14:13:40,Credit Card,994.33,627.45,5.21,9,35,989
121,373,65,2018-02-03 09:35:01,467.24,2018-04-04 09:35:01,Credit Card,4134.63,347.62,391.6,8,15,822
122,36,99,2020-05-03 02:03:28,729.3,2020-06-07 02:03:28,Credit Card,4727.33,455.31,95.78,3,5,26
123,49,15,2016-09-09 14:56:21,865.31,2016-10-22 14:56:21,Bank Transfer,6128.14,223.94,276.85,6,20,629
124,342,61,2015-01-09 21:22:49,777.97,2015-03-02 21:22:49,Bank Transfer,107.9,865,97.09,6,21,246
125,443,67,2021-06-05 14:23:18,629.99,2021-07-15 14:23:18,Bank Transfer,3742.88,433.74,400.88,4,86,671
126,158,51,2013-06-03 08:56:00,62.34,2013-07-19 08:56:00,Cash,5836.29,71.7,373.79,10,67,871
127,163,42,2015-10-18 15:10:52,323.32,2015-11-20 15:10:52,Credit Card,1943.16,608.82,376.34,1,102,688
128,242,83,2014-12-27 15:19:54,323.34,2015-02-04 15:19:54,Credit Card,8542.75,7.76,92.34,3,42,985
129,134,51,2012-03-02 03:09:29,374.28,2012-04-18 03:09:29,Bank Transfer,5815.77,200.99,396.05,6,62,95
130,474,56,2012-02-10 06:01:09,546.98,2012-03-25 06:01:09,Bank Transfer,3607.84,508.28,438.73,5,76,631
131,139,3,2017-10-14 10:05:12,523.27,2017-12-08 10:05:12,Cash,7414.12,465.16,73.83,10,58,158
132,13,80,2021-09-12 05:04:12,872.24,2021-10-28 05:04:12,Cash,9765.16,745.36,36.78,1,4,972
133,351,37,2019-02-09 23:52:15,793.98,2019-04-07 23:52:15,Cash,534.86,497.73,270.92,8,31,443
134,261,68,2014-04-22 14:23:59,337.09,2014-05-25 14:23:59,Bank Transfer,3442.17,271.33,181.75,2,50,300
135,85,84,2013-10-02 19:04:31,34.55,2013-11-29 19:04:31,Credit Card,1117.71,517.8,262.62,10,42,259
136,288,84,2010-11-07 01:58:59,318.63,2010-12-27 01:58:59,Credit Card,7321.79,915.53,325.3,2,89,374
137,455,40,2023-03-17 15:02:11,786.61,2023-05-04 15:02:11,Credit Card,1890.72,562.48,375.29,8,73,687
138,130,19,2022-11-04 20:01:52,437.81,2022-12-21 20:01:52,Cash,9078.29,907.65,50.63,8,4,909
139,319,83,2022-10-02 01:24:01,51.84,2022-11-13 01:24:01,Cash,9372.62,907.97,233.74,2,77,649
140,195,30,2023-02-10 03:13:41,603.23,2023-03-19 03:13:41,Bank Transfer,6107.26,806.55,345.66,6,9,914
141,328,28,2016-09-20 02:21:10,407.98,2016-10-28 02:21:10,Cash,1846.6,381.65,349.54,1,45,320
142,175,24,2014-11-09 01:01:01,74.64,2014-12-31 01:01:01,Credit Card,7825.73,167.18,237.1,3,41,550
143,429,36,2024-09-09 13:00:45,11.29,2024-11-03 13:00:45,Cash,4153.25,59.21,486.08,4,95,28
144,127,43,2010-11-19 13:44:49,902.88,2011-01-02 13:44:49,Cash,488.6,744.03,290.63,5,8,650
145,471,61,2014-01-15 09:36:05,788.85,2014-03-13 09:36:05,Cash,5165.65,758.58,134.89,10,89,156
146,407,44,2018-06-22 16:36:30,967.98,2018-08-01 16:36:30,Credit Card,2476.14,532.88,251.92,10,41,316
147,280,8,2013-04-12 08:33:49,5.01,2013-05-25 08:33:49,Credit Card,9512.5,665.68,221.63,5,50,372
148,36,91,2024-03-19 18:27:12,726.86,2024-04-24 18:27:12,Bank Transfer,3744.45,889.22,169.02,7,18,703
149,323,61,2014-08-20 20:48:45,264.17,2014-10-10 20:48:45,Credit Card,2325.11,941.83,61.07,3,70,708
150,148,31,2023-06-17 11:01:30,636.8,2023-07-24 11:01:30,Cash,244.12,461.81,93.47,10,54,525
151,245,46,2011-09-03 21:36:18,228.11,2011-10-14 21:36:18,Bank Transfer,657.71,643.2,51.86,10,34,389
152,401,78,2012-02-20 20:28:50,230.66,2012-04-07 20:28:50,Credit Card,4848.34,397.34,408.28,7,28,638
153,144,68,2015-07-07 22:27:57,104.08,2015-08-22 22:27:57,Credit Card,4590.8,772.88,74.38,2,23,820
154,247,40,2011-09-11 21:47:36,518.28,2011-10-21 21:47:36,Cash,7837.13,180.41,216.48,1,82,387
155,117,78,2022-05-10 08:12:45,513.69,2022-07-06 08:12:45,Bank Transfer,5248.47,527.02,175.47,3,5,793
156,2,79,2012-07-09 12:54:09,627.01,2012-08-20 12:54:09,Bank Transfer,2506.11,799.8,431.17,1,8,723
157,281,74,2020-05-18 01:15:00,744.21,2020-07-02 01:15:00,Bank Transfer,7677.47,215.38,384.27,1,52,101
158,250,59,2021-04-14 19:55:03,180.87,2021-06-11 19:55:03,Credit Card,8963.58,134.7,227.99,2,15,246
159,287,100,2023-07-09 21:24:07,430.45,2023-08-17 21:24:07,Cash,5915.09,706.75,278.45,1,32,191
160,71,21,2022-05-11 19:25:41,259.08,2022-06-11 19:25:41,Credit Card,4873.06,679.26,279.58,6,79,705
161,322,42,2023-12-02 12:14:23,757.93,2024-01-28 12:14:23,Cash,2098.29,65.45,129.95,7,63,257
162,359,1,2017-12-24 10:06:17,861.84,2018-01-23 10:06:17,Cash,74.29,301.42,224.27,2,37,72
163,299,48,2019-04-23 06:20:50,528.76,2019-05-26 06:20:50,Bank Transfer,9270.68,224.98,447.4,7,90,884
164,136,6,2012-06-25 19:02:02,371.12,2012-08-01 19:02:02,Credit Card,8887.66,37.39,174.71,3,30,579
165,106,24,2022-04-29 11:07:03,452.19,2022-06-09 11:07:03,Bank Transfer,1149.76,171.29,110.25,2,53,498
166,215,18,2012-08-19 16:15:02,597.79,2012-09-21 16:15:02,Bank Transfer,4157.44,947.4,453,9,9,675
167,397,43,2019-05-30 20:12:02,307.74,2019-07-13 20:12:02,Credit Card,2879,817.37,324.86,4,29,353
168,461,20,2019-03-30 06:31:39,666.07,2019-05-25 06:31:39,Cash,4061.09,141.6,335.68,3,39,904
169,475,64,2021-08-22 17:10:08,306.63,2021-10-16 17:10:08,Cash,9497.6,527.4,473.81,10,17,976
170,44,71,2011-02-21 20:45:26,350.12,2011-04-07 20:45:26,Bank Transfer,722.33,467.64,104.32,6,91,827
171,298,58,2012-09-04 00:43:17,887.71,2012-10-27 00:43:17,Bank Transfer,4576.9,834.83,491.68,1,72,507
172,325,38,2017-08-17 09:53:07,100.12,2017-10-02 09:53:07,Bank Transfer,9862.34,995.93,235.65,4,79,785
173,111,56,2012-08-27 15:23:49,596.1,2012-10-24 15:23:49,Bank Transfer,3016.39,749.32,297.43,6,63,190
174,68,7,2022-09-24 01:40:52,205.94,2022-10-24 01:40:52,Cash,1642.87,62.74,270.19,2,16,851
175,133,54,2012-08-19 01:52:16,528.89,2012-10-14 01:52:16,Credit Card,2431.56,534.35,466.86,10,93,995
176,125,10,2012-10-03 02:01:19,211.65,2012-11-09 02:01:19,Cash,1997.06,951.87,493.8,10,18,221
177,166,89,2011-07-21 22:48:15,673.64,2011-09-14 22:48:15,Credit Card,7445.67,607.62,243.82,2,6,932
178,51,60,2015-05-28 13:55:51,397.94,2015-07-05 13:55:51,Bank Transfer,9183.76,837.86,445.39,2,1,256
179,4,10,2018-06-27 17:56:36,411.77,2018-08-16 17:56:36,Credit Card,7392.76,26.39,492.66,8,97,996
180,205,17,2011-08-22 18:13:48,115.38,2011-10-12 18:13:48,Bank Transfer,9091.3,21.26,306.55,5,32,863
181,258,76,2022-12-14 13:07:14,79.92,2023-02-11 13:07:14,Cash,6471.01,147.94,304.26,10,15,174
182,193,19,2013-08-07 04:25:47,812.59,2013-09-06 04:25:47,Cash,9319.68,64.66,157.87,1,9,685
183,214,100,2016-09-21 23:08:13,419.59,2016-11-18 23:08:13,Cash,9770.07,79.98,410.9,1,78,628
184,483,64,2023-11-19 21:45:37,741.96,2023-12-30 21:45:37,Cash,3864.53,826.52,36.99,4,33,228
185,174,29,2016-07-18 20:46:49,833.36,2016-08-19 20:46:49,Bank Transfer,2229.85,94.7,292.43,10,18,917
186,265,83,2017-06-17 12:15:37,154.72,2017-08-09 12:15:37,Credit Card,2086.19,704.4,424.94,4,36,913
187,245,22,2023-08-08 17:20:00,772.64,2023-09-29 17:20:00,Cash,1671.55,270.85,222.33,10,98,764
188,293,13,2016-10-29 05:26:03,420.61,2016-12-05 05:26:03,Credit Card,4443.88,894.76,488.46,4,1,558
189,360,18,2015-02-24 11:31:50,675.39,2015-04-10 11:31:50,Credit Card,2345.23,287.53,375.47,1,2,907
190,85,86,2013-03-21 21:12:53,955.47,2013-05-12 21:12:53,Bank Transfer,2879.91,432.07,134.58,7,86,947
191,217,47,2015-08-16 06:44:57,946.05,2015-09-29 06:44:57,Cash,1468.31,743.74,457.53,6,97,225
192,296,15,2024-03-31 17:10:34,986.23,2024-05-05 17:10:34,Credit Card,6365.13,325.16,166.03,5,34,112
193,301,26,2019-02-08 13:00:33,4.41,2019-03-18 13:00:33,Credit Card,7367.51,368.73,0.58,9,24,261
194,7,31,2011-06-28 22:44:25,47.19,2011-08-27 22:44:25,Credit Card,1389.96,673.61,111.95,5,26,396
195,494,39,2015-11-20 17:24:57,369.5,2015-12-28 17:24:57,Cash,2011.82,593.89,421.37,1,49,437
196,161,71,2013-04-27 03:53:26,53.07,2013-06-14 03:53:26,Bank Transfer,2876.2,612.31,9.45,7,53,859
197,155,40,2017-05-06 22:45:12,408.03,2017-07-05 22:45:12,Cash,675.45,463.61,242.69,10,20,712
198,26,2,2016-06-24 11:08:56,985.05,2016-07-31 11:08:56,Bank Transfer,5038.9,940.02,138.9,3,69,274
199,152,43,2015-04-24 01:21:50,327.95,2015-06-18 01:21:50,Credit Card,4758.35,841.4,407.26,10,87,528
200,447,70,2020-10-07 01:32:03,20.26,2020-11-10 01:32:03,Bank Transfer,4883.83,580.93,136.91,1,7,11
201,2,43,2023-12-28 21:30:09,433.4,2024-01-29 21:30:09,Bank Transfer,9326.42,474.6,25.2,7,33,926
202,312,49,2017-02-17 20:04:55,303.85,2017-04-17 20:04:55,Credit Card,9741.8,153.72,471.77,7,75,417
203,350,67,2014-04-17 23:08:27,606.91,2014-06-12 23:08:27,Credit Card,6953.87,433.03,243.32,8,75,240
204,151,65,2015-05-26 09:35:22,869.19,2015-07-21 09:35:22,Cash,6200.94,967.61,93.86,6,61,129
205,413,86,2012-06-14 20:08:51,199.59,2012-07-18 20:08:51,Credit Card,3165.46,773.71,336.02,1,47,705
206,304,37,2014-02-11 19:33:40,546.94,2014-03-27 19:33:40,Cash,4577.74,530.54,497.56,1,10,766
207,158,40,2012-01-04 01:04:51,459.45,2012-02-14 01:04:51,Credit Card,1804.24,985.01,245.12,8,87,584
208,277,35,2016-10-16 15:07:38,511.01,2016-12-07 15:07:38,Credit Card,7042.85,147.54,2.06,4,22,876
209,254,83,2024-02-27 17:50:17,760.87,2024-04-13 17:50:17,Cash,9473.24,774.56,428.76,2,62,540
210,448,98,2010-10-03 03:38:29,234.6,2010-11-25 03:38:29,Credit Card,6633.34,822.05,186.54,1,77,722
211,403,48,2013-10-08 20:15:10,720.18,2013-11-10 20:15:10,Cash,4529.05,159.61,470.77,3,32,720
212,206,5,2016-04-16 05:35:42,90.1,2016-05-20 05:35:42,Cash,2868.65,393.93,479.48,9,67,799
213,106,22,2014-04-17 20:46:12,60.36,2014-06-16 20:46:12,Bank Transfer,5749.37,631.43,68.02,3,27,319
214,97,84,2013-10-30 18:45:47,620.92,2013-12-16 18:45:47,Credit Card,7193.67,79.54,258.44,6,52,713
215,248,19,2017-08-01 14:47:44,438.44,2017-09-22 14:47:44,Cash,4800.94,24.12,353.59,4,85,763
216,424,38,2022-02-17 14:06:09,557.59,2022-04-06 14:06:09,Cash,6976.02,80.43,196.98,4,27,661
217,372,93,2011-09-15 13:53:08,48.53,2011-11-02 13:53:08,Credit Card,1229.91,747.91,19.84,9,28,847
218,249,34,2014-05-03 06:54:45,11.13,2014-06-07 06:54:45,Credit Card,9751.74,437.55,144.5,8,35,248
219,44,69,2017-01-16 21:35:17,530.76,2017-02-23 21:35:17,Cash,8685.55,447.29,214.4,6,11,383
220,32,19,2017-07-08 08:27:25,96.76,2017-09-04 08:27:25,Cash,9456.41,924.33,304.09,3,12,589
221,60,47,2019-03-12 06:35:51,84.44,2019-04-20 06:35:51,Cash,7595.88,246.84,204.26,9,84,625
222,281,45,2018-07-28 20:23:08,301.11,2018-08-27 20:23:08,Credit Card,6311.01,223.78,30.79,3,46,228
223,166,43,2018-10-04 02:22:31,589.97,2018-11-14 02:22:31,Bank Transfer,3612.85,597.87,90.53,6,53,17
224,326,54,2022-12-23 06:35:21,708.59,2023-01-22 06:35:21,Cash,8500.36,3.23,86.73,3,47,582
225,415,32,2013-11-01 16:54:22,618.14,2013-12-16 16:54:22,Cash,4643.5,48.27,401.59,2,6,399
226,413,3,2013-07-30 08:52:21,936.76,2013-09-20 08:52:21,Bank Transfer,7561.21,703.53,315.56,1,29,140
227,109,86,2020-05-28 23:52:12,159.53,2020-07-02 23:52:12,Cash,7099.59,224.56,344.01,5,41,213
