ProductionID,ProductID,PlantID,ProductionStartDateTime,ProductionEndDateTime,BatchID,QualityStatusID,EmployeeID,Quantity
46,118,5,2018-04-06 12:57:35,2018-05-04 12:57:35,72,13,3,807
47,417,1,2013-07-06 21:13:01,2013-07-26 21:13:01,97,19,34,725
48,349,1,2024-03-19 12:33:15,2024-04-05 12:33:15,103,20,45,671
49,98,6,2010-11-14 12:52:07,2010-11-30 12:52:07,113,18,51,331
50,72,10,2017-08-24 14:02:24,2017-09-19 14:02:24,79,3,18,518
51,125,8,2014-12-28 22:12:33,2015-01-16 22:12:33,184,27,7,34
52,196,5,2012-12-18 16:01:30,2013-01-13 16:01:30,65,17,72,345
53,273,8,2022-07-06 08:12:35,2022-07-24 08:12:35,200,11,32,110
54,493,10,2015-05-10 11:44:13,2015-05-25 11:44:13,162,25,98,819
55,402,1,2020-06-30 12:34:15,2020-07-22 12:34:15,66,6,47,359
56,464,3,2011-07-20 12:29:35,2011-08-07 12:29:35,136,26,1,332
57,499,8,2020-01-01 14:34:04,2020-01-18 14:34:04,106,25,39,994
58,187,6,2012-09-03 00:02:44,2012-09-19 00:02:44,8,16,72,881
59,282,9,2024-03-20 13:16:52,2024-04-09 13:16:52,164,15,70,407
60,348,3,2018-04-22 10:26:51,2018-05-06 10:26:51,11,8,93,605
61,87,2,2016-04-14 20:13:02,2016-04-30 20:13:02,64,29,10,940
62,18,2,2012-11-13 06:01:58,2012-12-04 06:01:58,160,23,42,574
63,494,7,2022-03-19 08:10:46,2022-04-08 08:10:46,54,19,100,591
64,68,9,2016-03-17 04:29:02,2016-04-10 04:29:02,121,19,68,796
65,82,9,2011-02-09 13:32:39,2011-03-02 13:32:39,128,7,90,79
66,411,3,2014-03-06 02:47:11,2014-03-24 02:47:11,80,19,47,817
67,89,10,2016-12-15 14:11:32,2017-01-04 14:11:32,29,16,86,592
68,159,5,2013-09-04 19:55:18,2013-09-24 19:55:18,30,14,2,241
69,390,3,2023-03-22 02:40:28,2023-04-08 02:40:28,139,18,65,7
70,3,1,2015-06-08 11:07:16,2015-06-29 11:07:16,83,3,90,43
71,270,8,2014-02-26 17:01:15,2014-03-14 17:01:15,80,11,88,82
72,481,1,2015-01-08 15:56:36,2015-01-24 15:56:36,38,22,21,749
73,336,1,2021-08-18 17:36:57,2021-09-12 17:36:57,22,24,63,370
74,188,5,2013-07-10 13:29:57,2013-07-28 13:29:57,18,13,36,543
75,318,3,2014-12-02 06:14:52,2014-12-23 06:14:52,169,28,90,70
76,445,5,2018-08-29 01:34:58,2018-09-12 01:34:58,104,14,17,896
77,164,1,2011-12-07 09:29:24,2011-12-28 09:29:24,200,4,46,176
78,349,10,2022-02-12 03:08:46,2022-03-04 03:08:46,115,9,36,175
79,27,4,2012-06-07 14:19:42,2012-07-04 14:19:42,185,13,8,493
80,466,6,2012-05-17 21:36:46,2012-06-08 21:36:46,75,24,70,955
81,97,4,2015-10-05 02:15:50,2015-10-31 02:15:50,4,19,48,520
82,73,4,2012-02-15 13:39:26,2012-03-07 13:39:26,177,18,28,408
83,363,1,2012-01-12 20:07:33,2012-02-03 20:07:33,110,2,102,91
84,133,6,2023-05-16 00:59:48,2023-06-12 00:59:48,115,20,20,235
85,206,8,2015-07-08 23:59:33,2015-07-24 23:59:33,20,9,95,680
86,176,9,2023-10-14 13:43:05,2023-11-05 13:43:05,181,4,80,650
87,4,2,2024-06-05 03:27:59,2024-06-26 03:27:59,94,2,93,110
88,222,8,2010-10-24 20:04:47,2010-11-16 20:04:47,156,28,62,686
89,15,10,2016-04-13 01:47:23,2016-04-29 01:47:23,34,12,10,586
90,24,2,2012-11-03 07:07:39,2012-11-19 07:07:39,144,5,71,742
91,181,3,2019-06-09 06:08:40,2019-07-04 06:08:40,61,8,91,153
92,231,1,2023-10-26 18:01:45,2023-11-18 18:01:45,69,19,83,872
93,387,8,2011-09-05 14:43:34,2011-09-22 14:43:34,150,11,65,166
94,466,2,2020-08-10 16:10:54,2020-09-02 16:10:54,88,18,81,931
95,469,6,2016-12-04 18:30:54,2016-12-23 18:30:54,32,3,55,863
96,411,10,2016-12-25 18:28:25,2017-01-11 18:28:25,166,15,11,290
97,85,1,2021-03-16 03:39:42,2021-04-08 03:39:42,120,11,59,310
98,440,2,2019-05-12 09:45:02,2019-06-06 09:45:02,80,30,24,307
99,416,8,2015-10-02 22:22:49,2015-10-24 22:22:49,61,19,53,163
100,67,6,2024-07-06 03:33:34,2024-07-26 03:33:34,154,3,67,948
101,122,2,2011-10-28 19:47:40,2011-11-19 19:47:40,46,10,84,589
102,469,8,2022-08-07 03:17:53,2022-09-02 03:17:53,187,15,31,778
103,331,7,2023-12-09 23:51:27,2024-01-06 23:51:27,182,26,60,492
104,452,5,2016-12-29 16:53:48,2017-01-14 16:53:48,77,7,82,314
105,323,6,2010-11-24 19:20:49,2010-12-11 19:20:49,78,20,60,532
106,85,10,2023-05-29 05:20:35,2023-06-19 05:20:35,97,12,61,113
107,463,7,2011-04-06 00:32:52,2011-04-25 00:32:52,193,23,40,229
108,266,1,2024-08-23 06:36:47,2024-09-20 06:36:47,41,20,74,49
109,413,4,2011-07-12 17:01:30,2011-08-07 17:01:30,70,30,69,663
110,329,5,2015-05-29 02:45:14,2015-06-12 02:45:14,33,10,61,596
111,215,1,2017-12-05 07:34:02,2018-01-01 07:34:02,161,1,93,52
112,147,1,2011-06-10 04:12:50,2011-07-03 04:12:50,154,3,54,716
113,248,4,2017-05-12 01:15:00,2017-05-31 01:15:00,123,14,17,295
114,86,7,2024-04-14 00:53:02,2024-05-12 00:53:02,98,23,100,993
115,427,3,2024-01-13 00:58:11,2024-02-07 00:58:11,33,12,34,609
116,473,1,2021-09-20 09:12:47,2021-10-06 09:12:47,57,14,101,614
117,28,10,2013-12-13 14:13:35,2013-12-30 14:13:35,195,3,92,981
118,473,1,2017-12-31 17:07:40,2018-01-18 17:07:40,26,22,43,152
119,124,2,2014-03-19 16:30:48,2014-04-09 16:30:48,182,4,97,472
120,420,3,2020-09-06 11:59:33,2020-09-22 11:59:33,102,10,9,265
121,492,6,2013-09-30 07:15:07,2013-10-21 07:15:07,108,19,101,14
122,6,2,2022-11-02 05:18:42,2022-11-30 05:18:42,134,9,17,941
123,409,4,2018-10-30 15:55:21,2018-11-22 15:55:21,56,11,79,541
124,140,8,2013-08-04 21:55:03,2013-08-29 21:55:03,79,6,21,590
125,327,4,2013-11-18 07:24:52,2013-12-10 07:24:52,195,21,98,331
126,214,7,2012-09-06 12:35:01,2012-09-29 12:35:01,178,16,101,489
127,479,2,2012-01-07 19:31:27,2012-02-02 19:31:27,91,8,77,21
128,87,3,2023-06-26 17:59:05,2023-07-22 17:59:05,111,25,21,760
129,239,4,2023-02-24 08:24:50,2023-03-14 08:24:50,104,11,2,44
130,104,3,2020-09-19 14:03:32,2020-10-14 14:03:32,155,19,3,589
131,361,1,2022-06-30 08:04:41,2022-07-14 08:04:41,111,10,59,417
132,443,5,2019-04-01 17:45:06,2019-04-16 17:45:06,78,5,58,516
133,128,6,2015-12-10 22:38:26,2015-12-31 22:38:26,82,9,85,961
134,366,5,2020-09-15 00:33:56,2020-09-29 00:33:56,46,21,32,128
135,318,8,2015-11-13 05:17:50,2015-12-03 05:17:50,154,5,93,723
136,32,7,2023-03-13 03:18:46,2023-04-07 03:18:46,114,12,35,969
137,116,10,2020-02-10 23:46:58,2020-03-04 23:46:58,51,10,30,701
138,205,10,2015-03-06 15:02:15,2015-03-29 15:02:15,5,9,41,875
139,379,10,2011-01-18 04:56:21,2011-02-04 04:56:21,47,26,89,356
140,263,8,2017-10-31 16:05:04,2017-11-16 16:05:04,143,23,29,343
141,102,4,2022-11-23 16:12:55,2022-12-14 16:12:55,131,4,29,253
142,479,8,2022-07-25 16:14:29,2022-08-08 16:14:29,60,9,44,255
143,460,4,2012-06-19 23:58:06,2012-07-13 23:58:06,13,6,30,434
144,52,3,2013-06-09 11:08:15,2013-06-27 11:08:15,40,10,98,488
145,130,1,2014-05-19 12:01:22,2014-06-16 12:01:22,163,19,69,384
146,366,8,2020-05-23 07:46:06,2020-06-09 07:46:06,41,2,31,236
147,23,6,2017-08-11 01:34:14,2017-08-30 01:34:14,19,13,7,129
148,421,3,2013-12-11 15:48:04,2013-12-28 15:48:04,84,4,4,500
149,46,6,2011-07-23 22:50:06,2011-08-17 22:50:06,92,11,69,880
150,28,10,2018-06-30 03:14:17,2018-07-21 03:14:17,69,21,90,54
151,78,3,2021-12-30 00:39:03,2022-01-17 00:39:03,166,27,88,692
152,485,6,2016-04-26 18:16:17,2016-05-14 18:16:17,101,10,10,81
153,318,3,2017-02-15 20:36:05,2017-03-10 20:36:05,96,27,48,877
154,68,6,2015-11-26 04:13:14,2015-12-11 04:13:14,60,17,5,964
155,395,9,2020-01-12 22:16:12,2020-02-02 22:16:12,20,19,12,865
156,422,6,2016-10-26 02:35:24,2016-11-12 02:35:24,6,12,92,761
157,374,5,2015-01-21 22:34:28,2015-02-07 22:34:28,157,9,98,998
158,316,8,2020-12-04 01:01:48,2020-12-19 01:01:48,29,11,89,510
159,388,6,2018-02-06 17:32:36,2018-03-05 17:32:36,92,16,16,916
160,201,7,2018-01-02 02:26:07,2018-01-30 02:26:07,60,6,66,647
161,68,5,2020-05-30 22:53:03,2020-06-23 22:53:03,105,8,3,861
162,221,2,2022-06-26 00:17:34,2022-07-22 00:17:34,191,14,18,866
163,39,9,2024-03-11 19:15:33,2024-04-07 19:15:33,169,12,92,443
164,162,3,2011-04-07 10:04:55,2011-04-24 10:04:55,3,28,100,1
165,224,2,2024-07-29 03:20:20,2024-08-19 03:20:20,81,2,38,158
166,161,10,2021-05-14 05:00:13,2021-05-28 05:00:13,144,22,50,513
167,184,7,2023-08-26 16:05:41,2023-09-21 16:05:41,153,15,59,899
168,157,4,2023-11-19 15:54:44,2023-12-04 15:54:44,176,7,89,988
169,13,9,2017-04-02 22:06:19,2017-04-22 22:06:19,11,24,98,608
170,56,1,2017-02-24 17:59:32,2017-03-10 17:59:32,21,30,37,784
171,214,2,2011-03-05 07:46:08,2011-03-31 07:46:08,13,24,28,615
172,249,9,2015-05-11 09:56:02,2015-05-27 09:56:02,135,17,72,101
173,305,4,2021-11-01 00:10:41,2021-11-23 00:10:41,10,9,51,673
174,198,4,2013-04-05 08:10:23,2013-04-20 08:10:23,143,17,15,418
175,243,9,2021-09-15 07:00:37,2021-10-07 07:00:37,188,12,12,541
176,351,6,2013-02-07 19:55:12,2013-03-06 19:55:12,108,30,77,47
177,322,1,2019-11-09 11:12:10,2019-11-28 11:12:10,170,19,49,343
178,389,9,2022-06-27 12:34:57,2022-07-17 12:34:57,138,25,21,390
179,91,9,2019-10-17 06:17:43,2019-11-07 06:17:43,9,1,62,973
180,366,8,2014-11-14 21:27:36,2014-11-30 21:27:36,41,27,1,742
181,284,2,2023-10-13 06:47:09,2023-11-06 06:47:09,173,22,38,459
182,324,4,2020-02-06 21:16:23,2020-02-22 21:16:23,118,7,46,431
183,10,8,2015-09-29 18:13:41,2015-10-17 18:13:41,133,8,94,742
184,400,1,2016-09-21 12:43:08,2016-10-16 12:43:08,137,8,7,788
185,310,8,2020-01-20 10:22:48,2020-02-09 10:22:48,134,25,77,599
186,292,6,2020-02-24 09:27:36,2020-03-19 09:27:36,27,21,33,355
187,312,9,2017-08-11 02:18:51,2017-08-29 02:18:51,53,14,60,914
188,134,7,2011-04-12 08:56:42,2011-04-27 08:56:42,124,9,73,37
189,195,9,2023-10-21 07:48:08,2023-11-10 07:48:08,132,24,54,461
190,36,9,2020-12-04 11:46:25,2020-12-23 11:46:25,87,25,63,915
191,44,7,2014-04-13 11:20:12,2014-04-28 11:20:12,78,12,56,47
192,343,10,2011-01-08 00:46:38,2011-01-27 00:46:38,94,27,52,213
193,128,2,2019-12-21 08:08:03,2020-01-08 08:08:03,129,2,81,672
194,108,10,2014-09-13 22:23:15,2014-10-04 22:23:15,38,1,93,34
195,179,9,2024-01-22 22:34:14,2024-02-07 22:34:14,89,14,43,777
196,110,4,2023-05-02 10:17:48,2023-05-28 10:17:48,198,16,91,489
197,407,4,2022-07-29 22:31:11,2022-08-19 22:31:11,5,22,26,102
198,254,9,2012-12-20 23:25:55,2013-01-09 23:25:55,124,4,76,802
199,430,7,2021-02-27 06:06:20,2021-03-15 06:06:20,28,12,37,561
200,345,3,2024-04-14 18:38:07,2024-05-05 18:38:07,4,28,14,148
201,341,1,2013-09-16 16:37:36,2013-10-04 16:37:36,36,12,38,346
202,13,1,2020-08-18 00:41:41,2020-09-06 00:41:41,88,10,76,33
203,382,1,2023-01-10 04:35:04,2023-02-01 04:35:04,171,19,76,941
204,432,4,2012-08-11 12:59:37,2012-09-02 12:59:37,146,28,64,412
205,235,4,2011-06-18 02:41:53,2011-07-12 02:41:53,134,17,62,139
206,194,2,2017-11-19 15:43:04,2017-12-07 15:43:04,101,7,2,208
207,407,5,2013-02-20 19:40:10,2013-03-18 19:40:10,64,17,29,791
208,31,1,2012-08-15 10:26:39,2012-09-08 10:26:39,8,19,11,299
209,161,3,2019-05-08 04:26:51,2019-05-25 04:26:51,158,10,80,960
210,10,8,2012-12-12 10:32:46,2012-12-29 10:32:46,178,23,36,109
211,291,10,2012-01-17 17:28:01,2012-02-07 17:28:01,165,14,41,278
212,387,7,2020-04-08 23:23:31,2020-04-28 23:23:31,40,17,80,509
213,100,6,2023-12-26 01:01:28,2024-01-20 01:01:28,26,17,78,818
214,81,3,2015-06-13 12:21:09,2015-07-03 12:21:09,87,5,58,797
215,324,7,2021-06-19 16:47:10,2021-07-08 16:47:10,15,1,22,131
216,20,3,2020-10-23 12:45:21,2020-11-09 12:45:21,58,29,37,40
217,196,8,2019-07-30 02:11:23,2019-08-18 02:11:23,116,28,14,189
218,41,6,2011-10-22 16:02:15,2011-11-10 16:02:15,133,19,95,45
219,135,2,2012-08-22 12:59:47,2012-09-18 12:59:47,133,28,81,170
220,442,9,2023-05-21 11:38:52,2023-06-16 11:38:52,4,11,9,423
221,221,1,2012-06-19 20:32:14,2012-07-09 20:32:14,182,18,15,871
222,112,10,2023-04-23 08:04:38,2023-05-09 08:04:38,33,16,68,567
223,395,5,2018-06-28 05:41:33,2018-07-16 05:41:33,125,21,79,35
224,286,7,2012-04-04 07:01:37,2012-04-27 07:01:37,50,14,11,335
225,243,7,2021-11-18 21:07:39,2021-12-04 21:07:39,157,11,71,830
226,439,5,2022-06-11 15:55:00,2022-07-07 15:55:00,78,10,20,16
227,82,5,2011-08-18 11:10:28,2011-09-03 11:10:28,178,18,20,258
228,279,7,2023-05-16 13:44:02,2023-06-07 13:44:02,49,24,10,251
229,237,4,2013-07-02 06:44:43,2013-07-29 06:44:43,119,3,39,376
230,116,2,2018-12-10 03:53:34,2018-12-24 03:53:34,29,30,69,33
231,79,7,2013-01-27 06:28:09,2013-02-21 06:28:09,174,13,81,602
232,63,5,2023-09-02 23:39:11,2023-09-28 23:39:11,32,20,98,255
233,294,7,2020-03-12 19:13:49,2020-04-05 19:13:49,2,13,11,26
234,233,2,2020-12-10 10:48:13,2020-12-28 10:48:13,129,19,96,128
235,53,10,2022-10-25 03:07:40,2022-11-21 03:07:40,158,5,94,323
236,486,7,2021-02-21 16:37:49,2021-03-20 16:37:49,169,22,77,147
237,156,8,2018-03-25 05:55:24,2018-04-22 05:55:24,105,18,71,686
238,109,5,2017-09-20 05:02:23,2017-10-16 05:02:23,17,2,29,269
239,144,2,2018-07-27 11:53:37,2018-08-11 11:53:37,51,25,9,529
240,57,9,2023-11-07 00:17:36,2023-11-22 00:17:36,163,4,40,10
241,472,2,2015-12-15 11:58:03,2016-01-03 11:58:03,179,23,30,161
242,326,2,2014-08-04 21:24:03,2014-08-23 21:24:03,114,28,76,685
243,159,5,2020-11-12 19:56:41,2020-11-26 19:56:41,116,2,65,370
244,1,10,2024-05-23 13:25:05,2024-06-12 13:25:05,191,9,102,49
245,463,7,2016-04-08 03:14:48,2016-05-04 03:14:48,117,4,38,677
246,258,8,2011-11-02 10:28:30,2011-11-29 10:28:30,135,7,9,23
247,54,5,2014-09-28 03:23:00,2014-10-15 03:23:00,91,25,50,279
248,243,3,2022-09-07 19:00:03,2022-09-26 19:00:03,196,5,59,336
249,242,10,2022-02-07 09:11:27,2022-03-03 09:11:27,69,26,7,466
250,138,1,2011-09-05 23:21:08,2011-09-30 23:21:08,57,7,58,272
251,317,10,2014-02-05 00:10:01,2014-02-23 00:10:01,158,30,68,461
252,310,4,2019-01-02 07:11:56,2019-01-16 07:11:56,64,20,14,726
253,202,10,2013-11-26 04:48:24,2013-12-13 04:48:24,74,3,24,836
254,208,5,2013-06-06 19:54:54,2013-06-30 19:54:54,19,1,50,18
255,86,7,2019-10-26 16:46:59,2019-11-12 16:46:59,195,26,58,360
256,482,2,2021-03-08 06:28:07,2021-03-25 06:28:07,180,21,72,47
257,251,7,2024-04-04 21:35:53,2024-04-23 21:35:53,62,3,88,857
258,42,1,2019-03-24 19:17:55,2019-04-07 19:17:55,137,20,52,660
259,152,7,2022-11-09 14:16:03,2022-11-28 14:16:03,25,6,42,232
260,20,7,2015-01-09 17:55:09,2015-01-29 17:55:09,74,1,8,288
261,149,9,2012-02-17 21:35:01,2012-03-09 21:35:01,103,15,77,308
262,288,7,2018-07-17 11:50:23,2018-08-14 11:50:23,199,21,82,598
263,266,10,2013-06-10 05:01:27,2013-07-07 05:01:27,70,17,33,530
264,240,1,2024-04-06 18:12:34,2024-04-21 18:12:34,167,8,52,828
265,13,1,2023-03-28 16:02:52,2023-04-12 16:02:52,117,26,60,5
266,37,8,2023-05-13 20:49:26,2023-06-08 20:49:26,125,25,29,670
267,161,10,2014-03-09 17:23:11,2014-03-30 17:23:11,80,20,26,829
268,418,1,2015-10-12 10:09:03,2015-10-29 10:09:03,114,17,14,114
269,454,2,2024-07-08 08:05:42,2024-08-05 08:05:42,114,4,74,721
270,217,1,2013-05-07 13:23:08,2013-06-02 13:23:08,10,9,79,25
271,473,2,2023-03-08 10:26:15,2023-03-24 10:26:15,69,10,38,89
272,183,6,2021-09-15 16:57:32,2021-10-11 16:57:32,152,14,58,287
273,119,4,2017-12-20 03:04:07,2018-01-06 03:04:07,171,22,67,311
274,290,7,2012-05-11 01:13:36,2012-06-04 01:13:36,180,30,44,384
275,118,10,2018-04-10 13:20:43,2018-04-26 13:20:43,28,16,100,697
276,420,4,2013-05-08 15:00:42,2013-05-22 15:00:42,187,8,47,250
277,1,1,2022-05-12 06:19:40,2022-06-09 06:19:40,80,20,89,817
278,299,3,2021-02-21 14:30:39,2021-03-16 14:30:39,99,21,52,357
279,369,7,2021-06-22 19:28:47,2021-07-09 19:28:47,184,4,95,629
280,332,8,2022-06-19 11:43:50,2022-07-10 11:43:50,61,4,59,222
281,445,5,2012-01-15 18:33:12,2012-02-07 18:33:12,196,14,89,935
282,140,9,2018-03-20 20:38:50,2018-04-05 20:38:50,127,23,93,156
283,471,4,2022-11-03 16:48:31,2022-12-01 16:48:31,192,26,72,843
284,434,9,2010-12-13 12:47:53,2011-01-01 12:47:53,97,28,43,994
285,125,10,2022-02-01 18:28:43,2022-02-25 18:28:43,40,28,62,675
286,199,9,2016-01-27 02:28:35,2016-02-22 02:28:35,117,22,12,268
287,41,4,2019-01-26 08:01:24,2019-02-20 08:01:24,71,19,26,811
288,459,8,2012-06-09 22:00:17,2012-06-24 22:00:17,156,13,57,960
289,221,1,2018-08-10 19:03:12,2018-08-24 19:03:12,94,12,72,657
290,245,4,2018-05-12 04:50:59,2018-05-27 04:50:59,82,15,78,129
291,451,2,2024-08-24 23:55:06,2024-09-08 23:55:06,100,5,44,26
292,358,10,2011-09-08 22:57:41,2011-09-28 22:57:41,143,20,25,957
293,190,5,2024-03-16 01:51:59,2024-04-13 01:51:59,101,10,52,214
294,304,9,2011-01-09 16:19:24,2011-02-05 16:19:24,178,20,58,16
295,481,5,2013-12-30 01:57:23,2014-01-14 01:57:23,170,21,83,336
296,249,1,2018-04-06 18:28:55,2018-04-25 18:28:55,60,20,92,244
297,339,3,2018-12-10 08:14:58,2018-12-28 08:14:58,122,23,13,742
298,203,7,2014-12-18 23:47:26,2015-01-09 23:47:26,192,19,20,371
299,65,10,2017-01-04 09:49:54,2017-01-23 09:49:54,167,2,43,25
300,474,3,2024-05-30 17:28:15,2024-06-22 17:28:15,100,2,1,50
301,42,2,2022-09-14 02:35:05,2022-10-08 02:35:05,171,25,96,57
302,419,6,2023-11-10 10:02:34,2023-11-25 10:02:34,109,3,54,73
303,300,8,2014-10-27 16:46:12,2014-11-23 16:46:12,50,18,34,807
304,496,10,2023-12-17 16:07:13,2024-01-04 16:07:13,161,17,11,143
305,438,4,2011-11-03 19:19:37,2011-11-18 19:19:37,1,2,87,758
306,263,3,2021-04-13 14:41:44,2021-05-05 14:41:44,168,25,25,544
307,156,7,2013-03-15 15:51:14,2013-04-11 15:51:14,147,20,7,783
308,352,9,2017-08-10 21:13:30,2017-09-03 21:13:30,104,16,17,202
309,478,4,2010-10-05 22:49:18,2010-10-29 22:49:18,19,2,34,682
310,271,2,2012-06-11 17:08:32,2012-06-29 17:08:32,127,22,60,972
311,126,7,2023-05-02 14:09:44,2023-05-26 14:09:44,93,11,93,430
312,311,3,2012-09-02 23:27:36,2012-09-17 23:27:36,33,3,99,544
313,70,3,2022-11-14 14:53:42,2022-12-06 14:53:42,6,14,28,769
314,270,7,2017-05-28 01:11:16,2017-06-12 01:11:16,74,4,62,394
315,327,4,2022-01-07 21:04:31,2022-01-22 21:04:31,8,5,25,424
316,392,2,2019-10-20 21:09:22,2019-11-07 21:09:22,177,21,56,623
317,217,9,2024-01-02 12:13:31,2024-01-19 12:13:31,49,11,81,625
318,34,7,2020-09-11 15:57:59,2020-10-04 15:57:59,119,14,36,16
319,125,3,2022-11-06 16:41:23,2022-12-03 16:41:23,58,26,74,683
320,366,10,2024-07-19 18:05:21,2024-08-03 18:05:21,188,8,85,184
321,72,9,2015-03-06 11:34:41,2015-03-25 11:34:41,39,29,82,825
322,413,8,2015-10-13 15:29:55,2015-11-02 15:29:55,27,6,49,910
323,124,8,2019-06-24 13:24:31,2019-07-17 13:24:31,150,9,78,867
324,291,6,2022-10-25 01:09:02,2022-11-17 01:09:02,43,30,24,321
325,465,10,2010-09-25 22:57:16,2010-10-11 22:57:16,107,25,33,265
326,351,9,2016-11-27 03:42:44,2016-12-15 03:42:44,72,25,32,821
327,383,7,2014-09-15 10:48:47,2014-10-13 10:48:47,197,23,94,556
328,260,2,2018-07-03 16:20:54,2018-07-23 16:20:54,30,3,40,802
329,114,1,2013-08-04 15:08:12,2013-08-21 15:08:12,110,9,4,620
330,267,1,2018-12-14 01:52:18,2019-01-08 01:52:18,83,18,64,491
331,431,6,2014-09-26 23:12:47,2014-10-11 23:12:47,82,23,45,609
332,338,1,2015-02-18 10:50:36,2015-03-14 10:50:36,198,21,50,716
333,86,8,2017-07-09 17:32:02,2017-08-06 17:32:02,136,16,79,54
334,473,6,2023-10-25 23:31:49,2023-11-10 23:31:49,148,4,89,156
335,366,5,2016-09-21 04:33:57,2016-10-05 04:33:57,100,8,60,173
336,212,3,2021-07-13 21:12:27,2021-07-28 21:12:27,186,13,51,743
337,111,3,2016-10-15 22:21:55,2016-10-29 22:21:55,49,11,66,305
338,275,1,2019-07-01 11:54:52,2019-07-16 11:54:52,45,20,41,353
339,318,10,2020-02-28 20:22:44,2020-03-23 20:22:44,146,16,60,789
340,370,8,2022-11-24 03:25:22,2022-12-11 03:25:22,147,7,78,851
341,251,10,2012-02-06 20:01:21,2012-02-25 20:01:21,81,25,45,70
342,493,3,2021-08-02 13:54:41,2021-08-25 13:54:41,66,24,58,276
343,44,2,2015-07-27 03:10:30,2015-08-20 03:10:30,17,16,87,222
344,494,8,2019-10-31 03:32:07,2019-11-20 03:32:07,4,7,91,541
345,76,6,2014-11-14 04:26:21,2014-12-04 04:26:21,101,21,60,884
346,54,2,2018-04-09 09:45:37,2018-04-29 09:45:37,42,12,72,299
