LogisticsID,SalesOrderID,ProductID,PlantID,WarehouseID,EmployeeID,CustomerID,QuantityShippedIn,QuantityShippedOut,ShippingInDatetime,ShippingOutDatetime,DeliveryMethod,DeliveryStatusID,DeliveryDatetime,ClosingDatetime
16,1837,301,9,6,10,203,736,534,2017-04-01 15:04:42,2017-05-01 15:04:42,Air,3,2017-05-07 15:04:42,2017-06-06 15:04:42
17,4625,79,6,3,94,553,1,195,2022-10-20 02:19:55,2022-12-04 02:19:55,Land,4,2022-12-10 02:19:55,
18,9965,286,6,10,24,877,562,489,2023-01-01 09:10:28,2023-02-27 09:10:28,Sea,1,2023-03-08 09:10:28,
19,9848,175,6,2,85,875,19,813,2022-01-30 16:41:31,2022-03-03 16:41:31,Air,1,2022-03-04 16:41:31,
20,3591,441,4,6,96,770,540,527,2013-04-16 20:19:08,2013-06-10 20:19:08,Air,3,2013-06-22 20:19:08,2013-07-03 20:19:08
21,2389,459,7,2,6,378,189,265,2017-07-31 18:46:21,2017-09-18 18:46:21,Air,5,2017-09-23 18:46:21,
22,5738,323,3,2,29,544,122,135,2022-07-25 05:17:50,2022-09-15 05:17:50,Sea,3,2022-09-28 05:17:50,2022-10-03 05:17:50
23,4721,16,2,3,70,13,914,543,2016-11-07 00:36:52,2016-12-23 00:36:52,Sea,1,2017-01-01 00:36:52,
24,6671,248,7,7,55,823,289,716,2010-11-10 00:58:04,2010-12-22 00:58:04,Land,1,2010-12-24 00:58:04,
25,2549,198,7,3,83,919,65,320,2022-05-11 02:12:54,2022-07-01 02:12:54,Sea,5,2022-07-03 02:12:54,
26,1745,129,10,6,26,190,333,909,2014-09-13 11:09:52,2014-11-04 11:09:52,Land,5,2014-11-16 11:09:52,
27,3656,285,10,3,13,544,970,124,2013-01-11 06:32:44,2013-02-20 06:32:44,Sea,2,2013-02-24 06:32:44,
28,851,379,3,10,32,118,299,311,2024-06-22 10:52:16,2024-08-02 10:52:16,Land,3,2024-08-13 10:52:16,2024-08-27 10:52:16
29,5603,229,8,5,8,331,634,955,2020-06-25 06:44:43,2020-07-30 06:44:43,Sea,3,2020-08-09 06:44:43,2020-09-01 06:44:43
30,5949,60,3,5,58,162,891,682,2019-12-25 11:44:56,2020-01-28 11:44:56,Air,1,2020-02-01 11:44:56,
31,3909,50,8,1,25,392,909,57,2024-02-21 08:10:32,2024-04-10 08:10:32,Air,2,2024-04-19 08:10:32,
32,3552,81,4,10,87,43,136,402,2016-02-22 00:38:58,2016-04-19 00:38:58,Air,2,2016-04-23 00:38:58,
33,3125,403,1,8,31,135,65,680,2020-09-02 10:11:12,2020-10-21 10:11:12,Sea,5,2020-10-23 10:11:12,
34,6765,251,1,5,63,829,397,714,2017-06-24 12:38:33,2017-08-19 12:38:33,Sea,3,2017-08-30 12:38:33,2017-09-26 12:38:33
35,2823,125,10,5,68,639,144,63,2020-09-22 08:35:13,2020-10-26 08:35:13,Air,2,2020-11-01 08:35:13,
36,7794,140,10,7,69,750,802,259,2012-12-08 21:22:50,2013-01-08 21:22:50,Sea,4,2013-01-15 21:22:50,
37,8741,188,10,7,51,186,728,871,2023-01-27 03:18:10,2023-03-19 03:18:10,Land,2,2023-03-31 03:18:10,
38,252,46,4,8,43,302,535,224,2018-05-10 15:37:36,2018-07-08 15:37:36,Air,4,2018-07-09 15:37:36,
39,8614,448,4,9,54,997,191,81,2020-12-27 22:24:03,2021-01-29 22:24:03,Land,4,2021-02-02 22:24:03,
40,5458,161,7,8,42,146,182,311,2024-05-19 02:08:55,2024-07-10 02:08:55,Sea,2,2024-07-13 02:08:55,
41,6069,486,10,4,79,632,874,716,2011-09-14 13:17:27,2011-11-07 13:17:27,Sea,4,2011-11-21 13:17:27,
42,1326,184,4,4,11,955,554,4,2015-02-04 00:18:02,2015-03-17 00:18:02,Land,3,2015-03-27 00:18:02,2015-04-14 00:18:02
43,9458,27,7,4,87,31,940,833,2020-06-23 02:27:30,2020-08-22 02:27:30,Sea,5,2020-09-02 02:27:30,
44,5107,465,1,9,12,989,761,885,2018-02-10 08:09:03,2018-03-21 08:09:03,Air,5,2018-03-25 08:09:03,
45,7601,163,7,4,96,677,586,294,2013-01-01 11:15:50,2013-02-20 11:15:50,Sea,3,2013-03-03 11:15:50,2013-03-05 11:15:50
46,3527,391,9,10,35,361,613,479,2019-05-11 04:12:28,2019-06-20 04:12:28,Air,4,2019-06-29 04:12:28,
47,57,5,6,7,30,372,446,95,2011-06-06 14:00:04,2011-07-23 14:00:04,Land,3,2011-07-25 14:00:04,2011-08-03 14:00:04
48,6223,128,4,1,79,676,722,106,2015-05-01 21:48:40,2015-06-13 21:48:40,Air,3,2015-06-25 21:48:40,2015-06-30 21:48:40
49,8125,265,7,6,61,970,619,889,2016-10-09 15:18:26,2016-12-08 15:18:26,Land,1,2016-12-11 15:18:26,
50,369,296,7,1,83,568,44,657,2015-04-14 05:57:32,2015-05-29 05:57:32,Land,2,2015-06-03 05:57:32,
51,6709,9,4,5,28,986,976,454,2016-11-06 09:34:59,2016-12-29 09:34:59,Land,3,2017-01-12 09:34:59,2017-02-08 09:34:59
52,6570,280,2,7,58,92,467,578,2011-05-31 13:12:00,2011-07-12 13:12:00,Sea,4,2011-07-16 13:12:00,
53,1910,175,2,5,4,842,312,242,2022-08-24 07:31:49,2022-09-29 07:31:49,Air,1,2022-10-07 07:31:49,
54,8868,312,8,7,34,229,575,369,2020-03-03 22:41:57,2020-04-30 22:41:57,Land,2,2020-05-14 22:41:57,
55,3291,212,8,7,18,52,530,510,2020-03-25 21:38:49,2020-05-15 21:38:49,Air,2,2020-05-23 21:38:49,
56,4207,3,2,3,36,1000,716,264,2017-08-13 10:58:15,2017-09-24 10:58:15,Land,5,2017-09-29 10:58:15,
57,9856,360,7,2,92,836,499,53,2021-07-07 10:56:57,2021-08-11 10:56:57,Air,3,2021-08-20 10:56:57,2021-09-12 10:56:57
58,5499,228,1,3,7,717,468,552,2023-10-26 08:07:24,2023-12-06 08:07:24,Sea,4,2023-12-13 08:07:24,
59,1267,109,10,7,50,331,73,660,2016-09-05 15:55:58,2016-10-15 15:55:58,Air,3,2016-10-21 15:55:58,2016-10-23 15:55:58
60,6671,295,7,1,67,51,417,428,2021-03-23 21:04:59,2021-04-22 21:04:59,Air,5,2021-04-28 21:04:59,
61,7802,227,6,6,8,257,806,403,2019-10-05 00:06:10,2019-11-10 00:06:10,Land,5,2019-11-24 00:06:10,
62,8529,248,7,8,91,934,220,395,2018-08-11 01:14:28,2018-09-26 01:14:28,Sea,5,2018-10-03 01:14:28,
63,3117,419,6,9,59,409,582,317,2018-12-22 06:07:17,2019-02-17 06:07:17,Land,5,2019-03-01 06:07:17,
64,470,359,9,2,3,236,364,394,2018-08-24 20:21:53,2018-10-13 20:21:53,Land,1,2018-10-14 20:21:53,
65,8088,236,4,4,80,140,221,76,2017-06-09 06:55:48,2017-08-03 06:55:48,Sea,1,2017-08-15 06:55:48,
66,5067,139,1,4,31,637,827,211,2010-09-19 13:37:53,2010-10-23 13:37:53,Sea,1,2010-11-04 13:37:53,
67,2551,109,9,4,13,603,556,256,2013-02-18 00:41:44,2013-03-29 00:41:44,Sea,4,2013-04-07 00:41:44,
68,3363,297,3,7,68,484,333,887,2013-05-24 20:28:49,2013-06-23 20:28:49,Sea,3,2013-07-01 20:28:49,2013-07-31 20:28:49
69,5135,286,10,7,56,116,946,696,2018-03-25 23:54:31,2018-05-15 23:54:31,Sea,1,2018-05-25 23:54:31,
70,3683,489,4,6,31,486,386,61,2019-01-08 08:35:04,2019-03-06 08:35:04,Land,5,2019-03-09 08:35:04,
71,6786,494,3,8,41,205,831,8,2022-09-04 22:38:07,2022-11-02 22:38:07,Land,1,2022-11-14 22:38:07,
72,3178,173,1,5,28,923,907,206,2024-01-23 14:59:36,2024-02-27 14:59:36,Air,5,2024-03-07 14:59:36,
73,690,2,8,8,74,403,910,961,2021-10-02 19:13:18,2021-11-25 19:13:18,Sea,2,2021-12-02 19:13:18,
74,7380,406,10,6,78,481,767,332,2012-02-21 02:20:08,2012-04-03 02:20:08,Land,4,2012-04-17 02:20:08,
75,4143,409,10,2,47,462,491,167,2011-10-10 01:16:03,2011-11-09 01:16:03,Air,2,2011-11-15 01:16:03,
76,9939,474,6,1,55,190,700,756,2022-12-07 16:58:51,2023-01-18 16:58:51,Land,1,2023-01-28 16:58:51,
77,2670,320,4,5,12,704,434,32,2012-01-11 14:08:02,2012-02-20 14:08:02,Sea,1,2012-02-22 14:08:02,
78,3783,149,4,1,62,984,914,166,2021-10-31 09:20:53,2021-12-26 09:20:53,Land,2,2022-01-02 09:20:53,
79,2209,235,5,3,100,295,512,677,2014-03-10 15:03:54,2014-04-15 15:03:54,Land,4,2014-04-20 15:03:54,
80,6998,271,4,6,58,83,591,355,2013-10-31 21:32:00,2013-12-23 21:32:00,Air,3,2013-12-31 21:32:00,2014-01-14 21:32:00
81,5267,352,6,2,102,627,724,865,2024-09-02 11:12:37,2024-10-05 11:12:37,Land,3,2024-10-08 11:12:37,2024-10-18 11:12:37
82,2063,231,6,2,80,875,243,531,2010-12-19 23:42:32,2011-01-24 23:42:32,Land,1,2011-02-06 23:42:32,
83,4406,97,6,4,94,562,99,654,2012-07-21 06:53:13,2012-08-28 06:53:13,Land,3,2012-09-06 06:53:13,2012-09-30 06:53:13
84,8900,237,2,4,34,888,34,991,2021-09-28 11:30:21,2021-11-25 11:30:21,Sea,3,2021-11-30 11:30:21,2021-12-09 11:30:21
85,3166,349,2,9,98,455,408,980,2023-12-02 18:42:12,2024-01-13 18:42:12,Land,5,2024-01-17 18:42:12,
86,1359,134,3,9,36,906,128,333,2021-08-16 19:22:55,2021-09-22 19:22:55,Sea,3,2021-09-28 19:22:55,2021-10-27 19:22:55
87,8110,375,3,4,19,701,239,509,2013-05-04 00:33:55,2013-07-01 00:33:55,Land,4,2013-07-07 00:33:55,
88,4983,456,5,1,6,519,485,186,2015-02-05 22:30:46,2015-03-08 22:30:46,Land,1,2015-03-15 22:30:46,
89,7219,78,8,1,90,167,633,875,2017-07-06 22:19:32,2017-08-22 22:19:32,Sea,2,2017-09-05 22:19:32,
90,235,318,2,10,26,656,997,599,2015-03-10 18:41:08,2015-04-16 18:41:08,Sea,5,2015-04-25 18:41:08,
91,1538,420,10,1,38,791,790,141,2019-07-05 16:49:33,2019-08-30 16:49:33,Sea,3,2019-09-01 16:49:33,2019-09-28 16:49:33
92,2123,383,5,2,65,879,147,509,2018-08-25 07:41:05,2018-10-20 07:41:05,Land,4,2018-10-21 07:41:05,
93,4779,291,3,10,32,561,819,51,2018-09-13 10:20:38,2018-10-15 10:20:38,Land,3,2018-10-21 10:20:38,2018-11-04 10:20:38
94,4209,100,6,3,63,106,141,949,2017-08-20 12:24:47,2017-09-30 12:24:47,Air,2,2017-10-05 12:24:47,
95,6044,274,9,2,31,547,995,227,2013-12-25 19:21:00,2014-02-22 19:21:00,Air,1,2014-02-25 19:21:00,
96,6064,71,10,1,47,435,364,333,2021-04-19 07:00:21,2021-06-11 07:00:21,Land,4,2021-06-20 07:00:21,
97,6218,423,6,6,13,525,896,55,2020-11-25 18:01:24,2020-12-26 18:01:24,Land,3,2020-12-27 18:01:24,2021-01-22 18:01:24
98,6519,120,2,4,14,416,781,345,2014-05-06 08:49:13,2014-06-27 08:49:13,Land,2,2014-07-01 08:49:13,
99,4828,301,4,4,56,325,600,846,2024-07-31 01:14:52,2024-09-25 01:14:52,Land,1,2024-10-05 01:14:52,
100,3437,205,2,9,48,316,970,587,2019-04-15 11:20:19,2019-06-05 11:20:19,Sea,2,2019-06-06 11:20:19,
101,4809,348,6,6,7,380,806,402,2017-09-28 15:11:42,2017-11-13 15:11:42,Sea,4,2017-11-26 15:11:42,
102,4208,428,10,2,31,407,147,786,2016-07-13 19:24:57,2016-09-06 19:24:57,Sea,5,2016-09-11 19:24:57,
103,3456,252,6,3,90,118,518,206,2016-08-18 14:07:57,2016-10-02 14:07:57,Air,4,2016-10-06 14:07:57,
104,2339,224,3,9,16,514,961,858,2022-03-02 04:11:39,2022-04-29 04:11:39,Air,5,2022-05-11 04:11:39,
105,5280,214,8,5,92,776,81,450,2015-12-08 07:58:46,2016-02-05 07:58:46,Air,2,2016-02-19 07:58:46,
106,9929,399,1,2,57,767,747,872,2011-02-12 18:38:04,2011-04-13 18:38:04,Sea,2,2011-04-25 18:38:04,
107,9054,394,4,10,97,366,991,79,2020-07-13 19:42:50,2020-09-09 19:42:50,Air,2,2020-09-10 19:42:50,
108,2182,227,1,9,5,37,757,459,2017-04-02 15:23:01,2017-05-22 15:23:01,Land,1,2017-05-28 15:23:01,
109,7080,99,5,8,19,721,679,959,2014-10-26 07:02:21,2014-11-26 07:02:21,Land,1,2014-12-09 07:02:21,
110,5799,428,6,2,67,160,173,335,2019-03-19 05:53:08,2019-04-19 05:53:08,Air,3,2019-04-23 05:53:08,2019-04-26 05:53:08
111,5006,97,6,5,19,792,494,813,2015-12-19 12:50:55,2016-02-05 12:50:55,Air,4,2016-02-18 12:50:55,
112,7587,210,6,8,29,107,591,941,2017-07-02 04:31:43,2017-08-11 04:31:43,Air,3,2017-08-18 04:31:43,2017-09-16 04:31:43
113,416,205,8,3,44,772,105,997,2013-11-29 12:37:50,2014-01-26 12:37:50,Sea,4,2014-01-29 12:37:50,
114,1353,273,9,6,87,402,892,192,2012-10-27 07:46:20,2012-12-01 07:46:20,Sea,4,2012-12-06 07:46:20,
115,1698,69,6,1,45,602,980,332,2023-05-27 22:18:20,2023-07-18 22:18:20,Land,4,2023-07-26 22:18:20,
116,6198,226,8,2,85,693,672,197,2023-08-13 01:15:40,2023-10-09 01:15:40,Air,1,2023-10-19 01:15:40,
117,5749,149,4,2,61,762,694,122,2013-07-09 02:00:26,2013-08-14 02:00:26,Land,3,2013-08-20 02:00:26,2013-08-27 02:00:26
118,4417,489,8,3,38,436,749,700,2011-07-28 11:50:26,2011-09-06 11:50:26,Air,2,2011-09-19 11:50:26,
119,4645,46,9,1,43,305,537,500,2013-02-14 03:33:26,2013-03-18 03:33:26,Air,5,2013-04-01 03:33:26,
120,287,408,8,6,58,193,690,74,2015-08-26 08:34:04,2015-10-01 08:34:04,Air,2,2015-10-07 08:34:04,
121,1816,453,1,4,77,783,506,239,2014-09-05 02:36:35,2014-10-06 02:36:35,Sea,1,2014-10-12 02:36:35,
122,9969,2,3,5,43,839,924,623,2023-01-28 18:14:23,2023-03-26 18:14:23,Air,1,2023-04-07 18:14:23,
123,1000,115,8,1,59,523,354,175,2019-04-28 03:37:21,2019-06-12 03:37:21,Air,3,2019-06-22 03:37:21,2019-07-20 03:37:21
124,2911,115,5,3,71,954,370,378,2012-07-04 01:52:22,2012-09-01 01:52:22,Land,1,2012-09-02 01:52:22,
125,5922,407,4,1,66,404,575,950,2012-04-26 21:48:15,2012-05-29 21:48:15,Sea,5,2012-05-30 21:48:15,
126,5100,333,8,7,71,592,242,410,2011-05-06 14:15:16,2011-06-27 14:15:16,Sea,4,2011-06-28 14:15:16,
127,4302,270,9,3,16,445,620,728,2012-07-07 10:48:48,2012-08-10 10:48:48,Sea,5,2012-08-18 10:48:48,
128,8949,285,1,10,82,894,840,573,2022-06-10 01:37:01,2022-07-22 01:37:01,Air,1,2022-08-02 01:37:01,
129,7854,295,10,10,85,321,722,956,2019-09-24 04:39:30,2019-11-20 04:39:30,Air,3,2019-11-27 04:39:30,2019-12-04 04:39:30
130,3742,420,4,10,81,283,444,381,2017-01-23 07:27:04,2017-03-16 07:27:04,Land,5,2017-03-30 07:27:04,
131,2052,6,5,1,53,975,684,229,2022-05-15 20:33:18,2022-06-25 20:33:18,Sea,1,2022-06-30 20:33:18,
132,2012,324,3,8,87,564,739,890,2021-09-10 10:37:45,2021-10-23 10:37:45,Land,1,2021-10-31 10:37:45,
133,8180,334,1,4,99,437,46,376,2019-04-22 06:34:34,2019-06-12 06:34:34,Sea,1,2019-06-16 06:34:34,
134,5418,199,7,4,32,819,685,892,2014-03-09 05:59:41,2014-05-05 05:59:41,Land,3,2014-05-12 05:59:41,2014-05-19 05:59:41
135,6754,449,6,4,93,417,586,172,2011-09-13 02:06:20,2011-10-23 02:06:20,Land,4,2011-10-24 02:06:20,
136,1082,376,4,2,3,690,934,557,2022-01-07 15:08:12,2022-02-12 15:08:12,Air,1,2022-02-22 15:08:12,
137,6144,269,2,5,46,785,703,817,2010-10-21 08:20:32,2010-12-13 08:20:32,Sea,2,2010-12-14 08:20:32,
138,1409,476,6,7,63,38,737,865,2016-01-31 18:38:05,2016-03-10 18:38:05,Land,3,2016-03-17 18:38:05,2016-04-09 18:38:05
139,5864,350,1,8,66,424,138,905,2019-06-26 02:35:56,2019-08-09 02:35:56,Air,3,2019-08-20 02:35:56,2019-09-19 02:35:56
140,1446,54,6,6,41,674,169,708,2016-05-02 09:13:01,2016-06-18 09:13:01,Sea,4,2016-06-19 09:13:01,
141,3894,226,8,9,92,676,670,865,2024-03-10 16:16:21,2024-05-06 16:16:21,Land,1,2024-05-16 16:16:21,
142,6484,440,3,4,27,372,656,316,2012-10-22 20:42:50,2012-12-11 20:42:50,Land,5,2012-12-14 20:42:50,
143,385,424,1,3,7,277,330,168,2024-08-28 05:47:02,2024-10-12 05:47:02,Sea,1,2024-10-19 05:47:02,
144,1462,441,9,4,36,212,838,404,2014-11-11 06:48:56,2014-12-25 06:48:56,Land,5,2015-01-08 06:48:56,
145,9149,31,2,1,72,240,266,851,2014-12-04 18:51:59,2015-01-21 18:51:59,Sea,4,2015-02-02 18:51:59,
146,7820,211,6,4,56,775,603,626,2019-10-08 13:02:31,2019-11-21 13:02:31,Sea,2,2019-11-28 13:02:31,
147,7878,338,10,10,37,914,596,825,2024-06-06 23:05:35,2024-07-29 23:05:35,Air,3,2024-08-06 23:05:35,2024-09-02 23:05:35
148,6474,329,6,4,101,784,278,959,2013-09-26 15:32:39,2013-11-08 15:32:39,Sea,1,2013-11-21 15:32:39,
149,1370,16,7,9,67,395,726,353,2018-06-10 05:38:33,2018-07-14 05:38:33,Land,3,2018-07-24 05:38:33,2018-08-09 05:38:33
150,4805,83,3,8,3,872,664,103,2012-09-26 16:19:06,2012-11-09 16:19:06,Sea,5,2012-11-23 16:19:06,
151,5613,207,7,2,3,677,592,955,2020-08-05 08:57:24,2020-09-19 08:57:24,Air,4,2020-09-26 08:57:24,
152,3413,402,6,5,64,245,4,302,2011-10-22 17:39:04,2011-11-26 17:39:04,Land,3,2011-12-08 17:39:04,2011-12-30 17:39:04
153,1948,204,8,4,68,325,495,107,2012-05-16 20:38:56,2012-06-16 20:38:56,Air,2,2012-06-29 20:38:56,
154,5039,439,4,2,9,85,144,262,2019-08-31 12:58:57,2019-10-30 12:58:57,Land,1,2019-11-04 12:58:57,
155,1215,267,6,5,29,425,843,421,2017-12-27 16:58:12,2018-01-27 16:58:12,Land,3,2018-02-04 16:58:12,2018-02-08 16:58:12
156,3962,273,10,9,10,150,907,206,2015-08-08 23:00:21,2015-09-19 23:00:21,Land,3,2015-09-26 23:00:21,2015-10-05 23:00:21
157,527,66,7,5,36,205,17,553,2019-09-12 05:41:04,2019-11-10 05:41:04,Air,2,2019-11-21 05:41:04,
158,7842,418,4,3,77,909,55,735,2020-11-21 10:47:52,2021-01-15 10:47:52,Sea,3,2021-01-29 10:47:52,2021-02-13 10:47:52
159,4706,134,8,6,37,859,63,862,2013-06-22 17:47:06,2013-08-14 17:47:06,Land,4,2013-08-16 17:47:06,
160,2906,58,5,8,38,490,914,809,2016-10-29 09:00:41,2016-12-15 09:00:41,Land,5,2016-12-23 09:00:41,
161,2478,309,2,3,87,163,670,478,2024-01-24 19:59:49,2024-03-24 19:59:49,Land,4,2024-04-05 19:59:49,
162,8459,486,4,1,16,123,428,640,2017-06-11 02:29:32,2017-08-09 02:29:32,Air,1,2017-08-23 02:29:32,
163,5374,190,5,6,59,333,474,69,2019-08-23 17:57:29,2019-09-24 17:57:29,Air,4,2019-09-25 17:57:29,
164,8455,32,4,7,87,303,424,496,2014-06-17 18:27:32,2014-07-18 18:27:32,Air,2,2014-07-31 18:27:32,
165,6406,142,2,3,25,996,76,537,2021-11-22 01:56:23,2022-01-16 01:56:23,Sea,5,2022-01-28 01:56:23,
166,4413,117,8,5,87,435,68,30,2013-09-03 08:09:38,2013-10-13 08:09:38,Air,2,2013-10-27 08:09:38,
167,4301,22,10,1,84,308,268,115,2015-09-07 10:06:56,2015-10-28 10:06:56,Air,5,2015-11-02 10:06:56,
168,8911,115,1,6,66,349,549,331,2011-02-21 19:18:57,2011-03-26 19:18:57,Land,4,2011-04-04 19:18:57,
169,1882,154,2,6,92,594,948,288,2016-10-31 12:03:41,2016-12-18 12:03:41,Sea,5,2016-12-23 12:03:41,
170,9653,314,1,5,102,926,206,460,2024-02-14 18:26:15,2024-03-19 18:26:15,Air,5,2024-03-23 18:26:15,
171,5717,50,6,3,38,263,136,962,2013-10-23 10:00:17,2013-12-05 10:00:17,Sea,2,2013-12-06 10:00:17,
172,9503,443,6,3,97,520,122,751,2021-05-16 01:31:23,2021-06-23 01:31:23,Land,2,2021-07-03 01:31:23,
173,4538,189,5,4,3,683,576,12,2018-05-04 02:19:49,2018-06-29 02:19:49,Sea,1,2018-07-11 02:19:49,
174,9492,467,9,9,44,447,360,580,2014-02-16 07:06:54,2014-03-20 07:06:54,Sea,2,2014-04-03 07:06:54,
175,1953,219,6,1,84,944,117,311,2019-10-21 22:55:31,2019-12-14 22:55:31,Sea,3,2019-12-28 22:55:31,2020-01-14 22:55:31
176,9257,217,3,4,88,133,993,864,2013-02-21 20:18:56,2013-03-23 20:18:56,Air,1,2013-04-04 20:18:56,
177,9498,147,10,4,84,436,726,458,2012-03-11 14:09:36,2012-04-23 14:09:36,Land,5,2012-05-01 14:09:36,
178,1544,101,2,3,48,884,23,809,2021-05-05 02:05:14,2021-06-17 02:05:14,Land,5,2021-06-24 02:05:14,
179,3789,273,3,1,72,744,378,129,2016-12-06 13:32:26,2017-01-21 13:32:26,Land,4,2017-01-26 13:32:26,
180,4091,370,6,7,20,29,111,473,2016-03-04 10:03:16,2016-04-15 10:03:16,Land,3,2016-04-26 10:03:16,2016-05-20 10:03:16
181,4103,46,5,8,55,465,748,334,2023-07-04 16:42:25,2023-08-16 16:42:25,Land,2,2023-08-21 16:42:25,
182,3260,46,10,7,69,506,935,141,2013-03-03 16:51:32,2013-04-11 16:51:32,Land,3,2013-04-25 16:51:32,2013-05-17 16:51:32
183,8322,88,9,7,38,235,15,900,2022-01-14 08:36:59,2022-03-03 08:36:59,Air,5,2022-03-05 08:36:59,
184,9875,347,4,5,19,358,803,574,2019-08-09 19:31:38,2019-09-21 19:31:38,Air,2,2019-09-24 19:31:38,
185,7884,192,3,2,24,690,290,89,2011-08-06 09:49:04,2011-10-02 09:49:04,Air,2,2011-10-09 09:49:04,
186,236,94,1,3,100,402,362,243,2023-03-16 03:35:25,2023-05-13 03:35:25,Land,1,2023-05-14 03:35:25,
187,7969,430,9,9,4,481,219,107,2019-02-12 23:53:13,2019-04-03 23:53:13,Sea,1,2019-04-16 23:53:13,
188,7742,8,4,8,73,250,726,341,2019-03-28 12:57:38,2019-04-30 12:57:38,Air,1,2019-05-03 12:57:38,
189,2166,489,9,1,98,799,29,606,2015-03-11 10:33:01,2015-04-24 10:33:01,Air,1,2015-05-07 10:33:01,
190,9592,74,6,4,92,793,375,440,2024-06-30 04:20:59,2024-07-30 04:20:59,Sea,4,2024-08-07 04:20:59,
191,2030,16,4,7,102,553,807,552,2011-01-16 22:45:42,2011-02-15 22:45:42,Air,5,2011-03-01 22:45:42,
192,5244,314,6,2,49,118,517,220,2013-05-20 13:57:25,2013-07-06 13:57:25,Air,5,2013-07-09 13:57:25,
193,4323,24,1,4,17,180,4,874,2015-05-07 06:33:48,2015-06-12 06:33:48,Sea,1,2015-06-13 06:33:48,
194,8054,68,5,1,65,409,966,946,2013-11-26 01:30:33,2013-12-30 01:30:33,Land,2,2014-01-11 01:30:33,
195,553,251,7,7,38,907,456,352,2016-04-29 09:59:11,2016-06-20 09:59:11,Land,5,2016-07-01 09:59:11,
196,4076,424,10,9,19,193,86,787,2020-05-12 10:11:00,2020-06-20 10:11:00,Air,2,2020-06-29 10:11:00,
197,4414,329,3,6,70,686,812,646,2013-11-04 17:44:33,2013-12-08 17:44:33,Air,2,2013-12-22 17:44:33,
198,8314,358,6,8,37,866,586,595,2014-12-08 16:55:08,2015-01-26 16:55:08,Air,2,2015-02-03 16:55:08,
199,1662,378,9,5,50,980,690,114,2021-05-04 23:15:45,2021-06-03 23:15:45,Air,5,2021-06-11 23:15:45,
200,4620,36,3,4,37,906,155,642,2013-02-19 03:39:39,2013-04-12 03:39:39,Air,5,2013-04-22 03:39:39,
201,8683,109,3,6,16,920,302,175,2019-07-09 10:23:36,2019-08-19 10:23:36,Air,3,2019-08-24 10:23:36,2019-09-21 10:23:36
202,7677,488,5,6,17,967,436,937,2013-08-09 03:24:20,2013-09-26 03:24:20,Air,4,2013-10-01 03:24:20,
203,7149,270,3,3,29,638,418,527,2014-07-25 09:11:01,2014-09-16 09:11:01,Air,3,2014-09-24 09:11:01,2014-10-06 09:11:01
204,1166,273,5,9,32,529,406,363,2022-11-21 09:07:55,2022-12-31 09:07:55,Land,1,2023-01-07 09:07:55,
205,8781,467,2,7,86,878,224,77,2017-08-17 04:13:39,2017-09-17 04:13:39,Land,5,2017-09-27 04:13:39,
