AllowanceID,EmployeeID,AllowanceType,Amount,AllowanceDate,Comment
152,3,annual bonus,9759.05,2010-12-15 00:31:15,
153,3,salary,1352.3,2011-04-15 00:31:15,
154,3,training,7226.25,2011-07-01 00:31:15,
155,3,salary,,2011-07-15 00:31:15,leave
156,3,salary,1916.91,2011-09-30 00:31:15,
157,3,annual bonus,7276.63,2011-12-15 00:31:15,
158,3,salary,2329.21,2011-12-30 00:31:15,
159,3,salary,2077.52,2012-03-30 00:31:15,
160,3,salary,1599.48,2012-06-15 00:31:15,
161,3,training,6750.49,2012-07-01 00:31:15,
162,3,salary,2338.99,2012-11-30 00:31:15,
163,3,annual bonus,9426.44,2012-12-15 00:31:15,
164,3,salary,2167.63,2013-02-15 00:31:15,
165,3,salary,2206.16,2013-03-15 00:31:15,
166,3,training,5858.2,2013-07-01 00:31:15,
167,3,salary,1836.11,2013-08-30 00:31:15,
168,3,salary,1182.04,2013-11-15 00:31:15,
169,3,annual bonus,7322.75,2013-12-15 00:31:15,
170,3,salary,1796.7,2014-05-30 00:31:15,
171,3,training,5269.19,2014-07-01 00:31:15,
172,3,salary,2132.88,2014-08-15 00:31:15,
173,3,annual bonus,9074.22,2014-12-15 00:31:15,
174,3,salary,2338.03,2015-01-30 00:31:15,
175,3,salary,2360.28,2015-05-15 00:31:15,
176,3,training,4636.63,2015-07-01 00:31:15,
177,3,salary,2292.24,2015-10-30 00:31:15,
178,3,annual bonus,8758.13,2015-12-15 00:31:15,
179,3,salary,2259.79,2016-01-15 00:31:15,
180,3,salary,2166.51,2016-04-15 00:31:15,
181,3,training,4956.98,2016-07-01 00:31:15,
182,3,salary,1659.81,2016-07-15 00:31:15,
183,3,salary,1351.74,2016-09-30 00:31:15,
184,3,annual bonus,9464.24,2016-12-15 00:31:15,
185,3,salary,1120.87,2016-12-30 00:31:15,
186,3,salary,1574.55,2017-06-30 00:31:15,
187,3,training,4855.81,2017-07-01 00:31:15,
188,3,salary,1622.3,2017-09-15 00:31:15,
189,3,salary,1698.89,2017-12-15 00:31:15,
190,3,annual bonus,9163.62,2017-12-15 00:31:15,
191,3,salary,1584.22,2018-03-30 00:31:15,
192,3,salary,,2018-06-15 00:31:15,leave
193,3,training,5907.92,2018-07-01 00:31:15,
194,3,salary,2414.11,2018-11-30 00:31:15,
195,3,annual bonus,6949.54,2018-12-15 00:31:15,
196,3,salary,2337.46,2019-02-15 00:31:15,
197,3,salary,1807.33,2019-03-15 00:31:15,
198,3,training,7199.47,2019-07-01 00:31:15,
199,3,salary,2346.72,2019-08-30 00:31:15,
200,3,salary,1409.4,2019-11-15 00:31:15,
201,3,annual bonus,6943.9,2019-12-15 00:31:15,
202,3,salary,2003.31,2020-05-15 00:31:15,
203,3,training,6896.73,2020-07-01 00:31:15,
204,3,salary,2260.76,2020-10-30 00:31:15,
205,3,annual bonus,9902.63,2020-12-15 00:31:15,
206,3,salary,1801.19,2021-01-15 00:31:15,
207,3,salary,1887.84,2021-04-30 00:31:15,
208,3,training,4335.79,2021-07-01 00:31:15,
209,3,salary,1642.92,2021-07-30 00:31:15,
210,3,salary,1272.59,2021-10-15 00:31:15,
211,3,annual bonus,6636.44,2021-12-15 00:31:15,
212,3,salary,1682.05,2022-04-15 00:31:15,
213,3,training,7518.56,2022-07-01 00:31:15,
214,3,salary,1417.38,2022-07-15 00:31:15,
215,3,salary,1632.35,2022-09-30 00:31:15,
216,3,annual bonus,7351.06,2022-12-15 00:31:15,
217,3,salary,2123.54,2022-12-30 00:31:15,
218,3,salary,2427.88,2023-06-30 00:31:15,
219,3,training,4274.47,2023-07-01 00:31:15,
220,3,salary,,2023-09-15 00:31:15,sick
221,3,salary,2424.42,2023-12-15 00:31:15,
222,3,annual bonus,5101.88,2023-12-15 00:31:15,
223,3,salary,1228.57,2024-03-15 00:31:15,
224,3,training,6677.84,2024-07-01 00:31:15,
225,3,salary,1845.95,2024-08-30 00:31:15,
226,4,salary,2049.2,2010-10-15 00:31:15,
227,4,annual bonus,5838.78,2010-12-15 00:31:15,
228,4,salary,1910.87,2011-04-15 00:31:15,
229,4,training,4458.13,2011-07-01 00:31:15,
230,4,salary,2228.95,2011-07-15 00:31:15,
231,4,salary,,2011-09-30 00:31:15,leave
232,4,annual bonus,7878.41,2011-12-15 00:31:15,
233,4,salary,2362.04,2011-12-30 00:31:15,
234,4,salary,2412.21,2012-03-30 00:31:15,
235,4,salary,1888.15,2012-06-15 00:31:15,
236,4,training,4971.4,2012-07-01 00:31:15,
237,4,salary,2045.79,2012-11-30 00:31:15,
238,4,annual bonus,8420.61,2012-12-15 00:31:15,
239,4,salary,2208.29,2013-02-15 00:31:15,
240,4,salary,,2013-03-15 00:31:15,leave
241,4,training,6646.09,2013-07-01 00:31:15,
242,4,salary,1103.44,2013-08-30 00:31:15,
243,4,salary,1018.98,2013-11-15 00:31:15,
244,4,annual bonus,7450.52,2013-12-15 00:31:15,
245,4,salary,1650.29,2014-05-30 00:31:15,
246,4,training,7566.3,2014-07-01 00:31:15,
247,4,salary,1689.61,2014-08-15 00:31:15,
248,4,annual bonus,5880.51,2014-12-15 00:31:15,
249,4,salary,1782.62,2015-01-30 00:31:15,
250,4,salary,1923.87,2015-05-15 00:31:15,
251,4,training,7098.57,2015-07-01 00:31:15,
252,4,salary,1697.31,2015-10-30 00:31:15,
253,4,annual bonus,7961.78,2015-12-15 00:31:15,
254,4,salary,1483.46,2016-01-15 00:31:15,
255,4,salary,2401.93,2016-04-15 00:31:15,
256,4,training,5803.21,2016-07-01 00:31:15,
257,4,salary,2125.71,2016-07-15 00:31:15,
258,4,salary,2002.28,2016-09-30 00:31:15,
259,4,annual bonus,7471.04,2016-12-15 00:31:15,
260,4,salary,1487.52,2016-12-30 00:31:15,
261,4,salary,1532.24,2017-06-30 00:31:15,
262,4,training,5118.63,2017-07-01 00:31:15,
263,4,salary,1894.23,2017-09-15 00:31:15,
264,4,salary,1833.69,2017-12-15 00:31:15,
265,4,annual bonus,5955.09,2017-12-15 00:31:15,
266,4,salary,1362.03,2018-03-30 00:31:15,
267,4,salary,1832.76,2018-06-15 00:31:15,
268,4,training,5904.37,2018-07-01 00:31:15,
269,4,salary,2067.76,2018-11-30 00:31:15,
270,4,annual bonus,5086.2,2018-12-15 00:31:15,
271,4,salary,1441.35,2019-02-15 00:31:15,
272,4,salary,1364.96,2019-03-15 00:31:15,
273,4,training,5476.08,2019-07-01 00:31:15,
274,4,salary,1830.21,2019-08-30 00:31:15,
275,4,salary,2494.95,2019-11-15 00:31:15,
276,4,annual bonus,6758.7,2019-12-15 00:31:15,
277,4,salary,1680.62,2020-05-15 00:31:15,
278,4,training,4922.15,2020-07-01 00:31:15,
279,4,salary,2081.93,2020-10-30 00:31:15,
280,4,annual bonus,8713.66,2020-12-15 00:31:15,
281,4,salary,2426.32,2021-01-15 00:31:15,
282,4,salary,1287.31,2021-04-30 00:31:15,
283,4,training,5106,2021-07-01 00:31:15,
284,4,salary,1884.38,2021-07-30 00:31:15,
285,4,salary,1895.19,2021-10-15 00:31:15,
286,4,annual bonus,9162.31,2021-12-15 00:31:15,
287,4,salary,1444.37,2022-04-15 00:31:15,
288,4,training,5209.07,2022-07-01 00:31:15,
289,4,salary,2062.03,2022-07-15 00:31:15,
290,4,salary,1068.27,2022-09-30 00:31:15,
291,4,annual bonus,6460.39,2022-12-15 00:31:15,
292,4,salary,2416.13,2022-12-30 00:31:15,
293,4,salary,2129.19,2023-06-30 00:31:15,
294,4,training,4049.06,2023-07-01 00:31:15,
295,4,salary,1426.51,2023-09-15 00:31:15,
296,4,salary,1511.06,2023-12-15 00:31:15,
297,4,annual bonus,6262.14,2023-12-15 00:31:15,
298,4,salary,2292.58,2024-03-15 00:31:15,
299,4,training,4261.37,2024-07-01 00:31:15,
300,4,salary,1737.62,2024-08-30 00:31:15,
301,5,salary,2029.68,2010-10-15 00:31:15,
302,5,annual bonus,9054.9,2010-12-15 00:31:15,
303,5,salary,2423.69,2011-04-15 00:31:15,
304,5,training,4992.76,2011-07-01 00:31:15,
305,5,salary,1837.11,2011-07-15 00:31:15,
306,5,salary,1894.19,2011-09-30 00:31:15,
307,5,annual bonus,8877.69,2011-12-15 00:31:15,
308,5,salary,1570.57,2011-12-30 00:31:15,
309,5,salary,1446.03,2012-03-30 00:31:15,
310,5,salary,1643.24,2012-06-15 00:31:15,
311,5,training,4240.92,2012-07-01 00:31:15,
312,5,salary,2440.16,2012-11-30 00:31:15,
313,5,annual bonus,8812.92,2012-12-15 00:31:15,
314,5,salary,1938.27,2013-02-15 00:31:15,
315,5,salary,1121.78,2013-03-15 00:31:15,
316,5,training,6207.97,2013-07-01 00:31:15,
317,5,salary,1234.8,2013-08-30 00:31:15,
318,5,salary,2034.06,2013-11-15 00:31:15,
319,5,annual bonus,5163.17,2013-12-15 00:31:15,
320,5,salary,1432.16,2014-05-30 00:31:15,
321,5,training,7438.43,2014-07-01 00:31:15,
322,5,salary,1106.77,2014-08-15 00:31:15,
323,5,annual bonus,6322.51,2014-12-15 00:31:15,
324,5,salary,2186.87,2015-01-30 00:31:15,
325,5,salary,2205.86,2015-05-15 00:31:15,
326,5,training,4459.11,2015-07-01 00:31:15,
327,5,salary,1337.21,2015-10-30 00:31:15,
328,5,annual bonus,6327.9,2015-12-15 00:31:15,
329,5,salary,1213.35,2016-01-15 00:31:15,
330,5,salary,2188.94,2016-04-15 00:31:15,
331,5,training,7296.96,2016-07-01 00:31:15,
332,5,salary,2381.79,2016-07-15 00:31:15,
333,5,salary,1703.05,2016-09-30 00:31:15,
334,5,annual bonus,7012.14,2016-12-15 00:31:15,
335,5,salary,1408.37,2016-12-30 00:31:15,
336,5,salary,1656.64,2017-06-30 00:31:15,
337,5,training,7557.69,2017-07-01 00:31:15,
338,5,salary,2101.8,2017-09-15 00:31:15,
339,5,salary,1038.8,2017-12-15 00:31:15,
340,5,annual bonus,8370.82,2017-12-15 00:31:15,
341,5,salary,2290.78,2018-03-30 00:31:15,
342,5,salary,1031.12,2018-06-15 00:31:15,
343,5,training,7285.68,2018-07-01 00:31:15,
344,5,salary,1864.37,2018-11-30 00:31:15,
345,5,annual bonus,5875.78,2018-12-15 00:31:15,
346,5,salary,1778.45,2019-02-15 00:31:15,
347,5,salary,1417.23,2019-03-15 00:31:15,
348,5,training,5743.54,2019-07-01 00:31:15,
349,5,salary,2221.37,2019-08-30 00:31:15,
350,5,salary,1705.02,2019-11-15 00:31:15,
351,5,annual bonus,6604.97,2019-12-15 00:31:15,
352,5,salary,1156.9,2020-05-15 00:31:15,
353,5,training,5646.58,2020-07-01 00:31:15,
354,5,salary,1743.2,2020-10-30 00:31:15,
355,5,annual bonus,7001.86,2020-12-15 00:31:15,
356,5,salary,,2021-01-15 00:31:15,sick
357,5,salary,1471.78,2021-04-30 00:31:15,
358,5,training,7880.74,2021-07-01 00:31:15,
359,5,salary,1606.26,2021-07-30 00:31:15,
360,5,salary,2482.18,2021-10-15 00:31:15,
361,5,annual bonus,7712.43,2021-12-15 00:31:15,
362,5,salary,1619.87,2022-04-15 00:31:15,
363,5,training,5447.12,2022-07-01 00:31:15,
364,5,salary,2134.66,2022-07-15 00:31:15,
365,5,salary,2139.99,2022-09-30 00:31:15,
366,5,annual bonus,7745.55,2022-12-15 00:31:15,
367,5,salary,2391.51,2022-12-30 00:31:15,
368,5,salary,2047.38,2023-06-30 00:31:15,
369,5,training,7892.59,2023-07-01 00:31:15,
370,5,salary,1913.31,2023-09-15 00:31:15,
371,5,salary,1237.57,2023-12-15 00:31:15,
372,5,annual bonus,7760.7,2023-12-15 00:31:15,
373,5,salary,1139.81,2024-03-15 00:31:15,
374,5,training,7651.72,2024-07-01 00:31:15,
375,5,salary,1692.17,2024-08-30 00:31:15,
376,6,salary,2248.21,2010-10-15 00:31:15,
377,6,annual bonus,8582.3,2010-12-15 00:31:15,
378,6,salary,1763.31,2011-04-15 00:31:15,
379,6,training,7338.9,2011-07-01 00:31:15,
380,6,salary,2470.37,2011-07-15 00:31:15,
381,6,salary,1826.9,2011-09-30 00:31:15,
382,6,annual bonus,9608.42,2011-12-15 00:31:15,
383,6,salary,1762.36,2011-12-30 00:31:15,
384,6,salary,2296.04,2012-03-30 00:31:15,
385,6,salary,2185.01,2012-06-15 00:31:15,
386,6,training,7736.99,2012-07-01 00:31:15,
387,6,salary,1761.61,2012-11-30 00:31:15,
388,6,annual bonus,6413.91,2012-12-15 00:31:15,
389,6,salary,1447.83,2013-02-15 00:31:15,
390,6,salary,2498.35,2013-03-15 00:31:15,
391,6,training,4594.38,2013-07-01 00:31:15,
392,6,salary,1807.87,2013-08-30 00:31:15,
393,6,salary,1827.88,2013-11-15 00:31:15,
394,6,annual bonus,7276.27,2013-12-15 00:31:15,
395,6,salary,1482.67,2014-05-30 00:31:15,
396,6,training,6789.99,2014-07-01 00:31:15,
397,6,salary,1857.7,2014-08-15 00:31:15,
398,6,annual bonus,8876.95,2014-12-15 00:31:15,
399,6,salary,1065.47,2015-01-30 00:31:15,
400,6,salary,2057.84,2015-05-15 00:31:15,
401,6,training,5544.32,2015-07-01 00:31:15,
402,6,salary,1995.53,2015-10-30 00:31:15,
403,6,annual bonus,9903.11,2015-12-15 00:31:15,
404,6,salary,,2016-01-15 00:31:15,leave
405,6,salary,2304.55,2016-04-15 00:31:15,
406,6,training,5761.22,2016-07-01 00:31:15,
407,6,salary,1788.93,2016-07-15 00:31:15,
408,6,salary,2083.67,2016-09-30 00:31:15,
409,6,annual bonus,8273.25,2016-12-15 00:31:15,
410,6,salary,1231.54,2016-12-30 00:31:15,
411,6,salary,2453.81,2017-06-30 00:31:15,
412,6,training,6770.82,2017-07-01 00:31:15,
413,6,salary,1974.75,2017-09-15 00:31:15,
414,6,salary,2278.51,2017-12-15 00:31:15,
415,6,annual bonus,6899.67,2017-12-15 00:31:15,
416,6,salary,1474.99,2018-03-30 00:31:15,
417,6,salary,2139.1,2018-06-15 00:31:15,
418,6,training,4143.6,2018-07-01 00:31:15,
419,6,salary,1102.63,2018-11-30 00:31:15,
420,6,annual bonus,9603.72,2018-12-15 00:31:15,
421,6,salary,2496.14,2019-02-15 00:31:15,
422,6,salary,1650.96,2019-03-15 00:31:15,
423,6,training,6534.99,2019-07-01 00:31:15,
424,6,salary,2308.87,2019-08-30 00:31:15,
425,6,salary,2041,2019-11-15 00:31:15,
426,6,annual bonus,5229.91,2019-12-15 00:31:15,
427,6,salary,2194.22,2020-05-15 00:31:15,
428,6,training,5499.36,2020-07-01 00:31:15,
429,6,salary,1218.35,2020-10-30 00:31:15,
430,6,annual bonus,7829.07,2020-12-15 00:31:15,
431,6,salary,2188.78,2021-01-15 00:31:15,
432,6,salary,1118.45,2021-04-30 00:31:15,
433,6,training,6478.84,2021-07-01 00:31:15,
434,6,salary,1361.24,2021-07-30 00:31:15,
435,6,salary,1214.68,2021-10-15 00:31:15,
436,6,annual bonus,6269.63,2021-12-15 00:31:15,
437,6,salary,,2022-04-15 00:31:15,leave
438,6,training,7604.84,2022-07-01 00:31:15,
439,6,salary,2016.42,2022-07-15 00:31:15,
440,6,salary,1662.59,2022-09-30 00:31:15,
441,6,annual bonus,7937.27,2022-12-15 00:31:15,
442,6,salary,1958.41,2022-12-30 00:31:15,
443,6,salary,1375.15,2023-06-30 00:31:15,
444,6,training,4796.87,2023-07-01 00:31:15,
445,6,salary,1577.04,2023-09-15 00:31:15,
446,6,salary,1355.81,2023-12-15 00:31:15,
447,6,annual bonus,7873.48,2023-12-15 00:31:15,
448,6,salary,2489.04,2024-03-15 00:31:15,
449,6,training,7911.78,2024-07-01 00:31:15,
450,6,salary,1987.34,2024-08-30 00:31:15,
451,7,salary,1848.89,2010-10-15 00:31:15,
452,7,annual bonus,8722.6,2010-12-15 00:31:15,
453,7,salary,1073.57,2011-04-15 00:31:15,
454,7,training,5986.91,2011-07-01 00:31:15,
455,7,salary,2356.23,2011-07-15 00:31:15,
456,7,salary,2198.29,2011-09-30 00:31:15,
457,7,annual bonus,6761.25,2011-12-15 00:31:15,
458,7,salary,1954.93,2011-12-30 00:31:15,
459,7,salary,2016.65,2012-03-30 00:31:15,
460,7,salary,1988.77,2012-06-15 00:31:15,
461,7,training,6512.99,2012-07-01 00:31:15,
462,7,salary,2355.11,2012-11-30 00:31:15,
463,7,annual bonus,6544.36,2012-12-15 00:31:15,
464,7,salary,1661.23,2013-02-15 00:31:15,
465,7,salary,2098.54,2013-03-15 00:31:15,
466,7,training,5180.44,2013-07-01 00:31:15,
467,7,salary,2121.22,2013-08-30 00:31:15,
468,7,salary,1198.24,2013-11-15 00:31:15,
469,7,annual bonus,9856.48,2013-12-15 00:31:15,
470,7,salary,1796.28,2014-05-30 00:31:15,
471,7,training,7321.89,2014-07-01 00:31:15,
472,7,salary,1385.46,2014-08-15 00:31:15,
473,7,annual bonus,7408.76,2014-12-15 00:31:15,
474,7,salary,2209.73,2015-01-30 00:31:15,
475,7,salary,1508.07,2015-05-15 00:31:15,
476,7,training,7851.57,2015-07-01 00:31:15,
477,7,salary,1211.14,2015-10-30 00:31:15,
478,7,annual bonus,9299.84,2015-12-15 00:31:15,
479,7,salary,2086.33,2016-01-15 00:31:15,
480,7,salary,2450.9,2016-04-15 00:31:15,
481,7,training,5463.1,2016-07-01 00:31:15,
482,7,salary,,2016-07-15 00:31:15,sick
483,7,salary,1682.18,2016-09-30 00:31:15,
484,7,annual bonus,8361.03,2016-12-15 00:31:15,
485,7,salary,1876.84,2016-12-30 00:31:15,
486,7,salary,2410.44,2017-06-30 00:31:15,
487,7,training,4935.29,2017-07-01 00:31:15,
488,7,salary,1037.54,2017-09-15 00:31:15,
489,7,salary,1842.11,2017-12-15 00:31:15,
490,7,annual bonus,6106.61,2017-12-15 00:31:15,
491,7,salary,1094.83,2018-03-30 00:31:15,
492,7,salary,2364.08,2018-06-15 00:31:15,
493,7,training,5633.18,2018-07-01 00:31:15,
494,7,salary,1209.67,2018-11-30 00:31:15,
495,7,annual bonus,6521.52,2018-12-15 00:31:15,
496,7,salary,1738.94,2019-02-15 00:31:15,
497,7,salary,2330.89,2019-03-15 00:31:15,
498,7,training,5814.58,2019-07-01 00:31:15,
499,7,salary,2005.73,2019-08-30 00:31:15,
500,7,salary,2418.96,2019-11-15 00:31:15,
501,7,annual bonus,8710.6,2019-12-15 00:31:15,
502,7,salary,1231.78,2020-05-15 00:31:15,
503,7,training,4396.09,2020-07-01 00:31:15,
504,7,salary,1734.02,2020-10-30 00:31:15,
505,7,annual bonus,9756.66,2020-12-15 00:31:15,
506,7,salary,1049.07,2021-01-15 00:31:15,
507,7,salary,1665.07,2021-04-30 00:31:15,
508,7,training,7421.8,2021-07-01 00:31:15,
509,7,salary,1149.03,2021-07-30 00:31:15,
510,7,salary,1816.7,2021-10-15 00:31:15,
511,7,annual bonus,6793.01,2021-12-15 00:31:15,
512,7,salary,1597.21,2022-04-15 00:31:15,
513,7,training,4488.64,2022-07-01 00:31:15,
514,7,salary,2272.05,2022-07-15 00:31:15,
515,7,salary,1994.15,2022-09-30 00:31:15,
516,7,annual bonus,7985.13,2022-12-15 00:31:15,
517,7,salary,1032.04,2022-12-30 00:31:15,
518,7,salary,1365.35,2023-06-30 00:31:15,
519,7,training,6258.31,2023-07-01 00:31:15,
520,7,salary,1102.92,2023-09-15 00:31:15,
521,7,salary,1310.74,2023-12-15 00:31:15,
522,7,annual bonus,9347.61,2023-12-15 00:31:15,
523,7,salary,1492.84,2024-03-15 00:31:15,
524,7,training,7602.12,2024-07-01 00:31:15,
525,7,salary,1004.25,2024-08-30 00:31:15,
526,8,salary,1217.03,2010-10-15 00:31:15,
527,8,annual bonus,6253.02,2010-12-15 00:31:15,
528,8,salary,1261.75,2011-04-15 00:31:15,
529,8,training,4103.12,2011-07-01 00:31:15,
